"",BBDE1.M.DE.W.BAA1.A2P330000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P330000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Durable goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:39,
1991-01,134.1,
1991-02,143.2,
1991-03,160.0,
1991-04,141.5,
1991-05,132.4,
1991-06,149.8,
1991-07,118.9,
1991-08,105.4,
1991-09,157.9,
1991-10,157.2,
1991-11,163.7,
1991-12,128.7,
1992-01,131.6,
1992-02,141.0,
1992-03,152.8,
1992-04,137.9,
1992-05,131.7,
1992-06,132.3,
1992-07,109.2,
1992-08,104.1,
1992-09,146.4,
1992-10,146.0,
1992-11,150.2,
1992-12,121.5,
1993-01,124.8,
1993-02,129.0,
1993-03,140.2,
1993-04,126.6,
1993-05,123.0,
1993-06,125.3,
1993-07,98.4,
1993-08,105.0,
1993-09,141.9,
1993-10,143.8,
1993-11,146.7,
1993-12,119.7,
1994-01,118.3,
1994-02,123.9,
1994-03,138.0,
1994-04,127.9,
1994-05,121.1,
1994-06,124.1,
1994-07,101.7,
1994-08,100.6,
1994-09,140.0,
1994-10,142.7,
1994-11,146.1,
1994-12,123.6,
1995-01,114.1,
1995-02,120.3,
1995-03,130.2,
1995-04,120.7,
1995-05,115.4,
1995-06,118.0,
1995-07,103.1,
1995-08,92.4,
1995-09,134.7,
1995-10,132.4,
1995-11,133.6,
1995-12,105.6,
1996-01,110.3,
1996-02,115.0,
1996-03,129.9,
1996-04,114.0,
1996-05,110.0,
1996-06,117.3,
1996-07,100.9,
1996-08,92.8,
1996-09,129.0,
1996-10,127.8,
1996-11,131.8,
1996-12,106.4,
1997-01,106.5,
1997-02,113.3,
1997-03,129.1,
1997-04,112.5,
1997-05,101.1,
1997-06,116.0,
1997-07,104.0,
1997-08,87.0,
1997-09,130.4,
1997-10,131.0,
1997-11,133.4,
1997-12,107.4,
1998-01,110.3,
1998-02,118.5,
1998-03,134.4,
1998-04,116.5,
1998-05,114.3,
