"",BBK01.OEAE35U,BBK01.OEAE35U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:31,
2002-01,0.030,
2002-04,0.030,
2002-07,0.030,
2002-10,0.030,
2003-01,0.024,
2003-04,0.031,
2003-07,0.030,
2003-10,0.035,
2004-01,0.045,
2004-04,0.033,
2004-07,0.032,
2004-10,0.039,
2005-01,0.036,
2005-04,0.039,
2005-07,0.041,
2005-10,0.050,
2006-01,0.041,
2006-04,0.039,
2006-07,0.041,
2006-10,0.031,
2007-01,0.038,
2007-04,0.035,
2007-07,0.044,
2007-10,0.044,
2008-01,0.038,
2008-04,0.039,
2008-07,0.037,
2008-10,0.036,
2009-01,0.032,
2009-04,0.034,
2009-07,0.031,
2009-10,0.022,
2010-01,0.030,
2010-04,0.029,
2010-07,0.033,
2010-10,0.031,
2011-01,0.031,
2011-04,0.025,
2011-07,0.025,
2011-10,0.027,
2012-01,0.022,
2012-04,0.023,
2012-07,0.023,
2012-10,0.021,
2013-01,0.021,
2013-04,0.023,
2013-07,0.026,
2013-10,0.024,
2014-01,0.027,
2014-04,0.026,
2014-07,0.025,
