"",BBK01.OEAE35I,BBK01.OEAE35I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:31,
2002-01,0.527,
2002-04,0.528,
2002-07,0.521,
2002-10,0.504,
2003-01,0.490,
2003-04,0.468,
2003-07,0.389,
2003-10,0.382,
2004-01,0.384,
2004-04,0.379,
2004-07,0.368,
2004-10,0.344,
2005-01,0.331,
2005-04,0.300,
2005-07,0.293,
2005-10,0.312,
2006-01,0.327,
2006-04,0.295,
2006-07,0.314,
2006-10,0.291,
2007-01,0.277,
2007-04,0.272,
2007-07,0.298,
2007-10,0.268,
2008-01,0.258,
2008-04,0.244,
2008-07,0.233,
2008-10,0.180,
2009-01,0.171,
2009-04,0.167,
2009-07,0.157,
2009-10,0.093,
2010-01,0.093,
2010-04,0.094,
2010-07,0.095,
2010-10,0.092,
2011-01,0.091,
2011-04,0.091,
2011-07,0.098,
2011-10,0.109,
2012-01,0.106,
2012-04,0.092,
2012-07,0.087,
2012-10,0.088,
2013-01,0.085,
2013-04,0.083,
2013-07,0.079,
2013-10,0.072,
2014-01,0.073,
2014-04,0.074,
2014-07,0.076,
