"",BBFN1.M.DE.N.1.A.AU.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:28,
1975-12,0.009,
1976-01,0.010,
1976-02,0.010,
1976-03,0.019,
1976-04,0.008,
1976-05,0.009,
1976-06,0.008,
1976-07,0.010,
1976-08,0.007,
1976-09,0.013,
1976-10,0.013,
1976-11,0.014,
1976-12,0.013,
1977-01,0.019,
1977-02,0.017,
1977-03,0.016,
1977-04,0.014,
1977-05,0.017,
1977-06,0.017,
1977-07,0.024,
1977-08,0.024,
1977-09,0.020,
1977-10,0.020,
1977-11,0.021,
1977-12,0.024,
1978-01,0.025,
1978-02,0.024,
1978-03,0.020,
1978-04,0.012,
1978-05,0.013,
1978-06,0.011,
1978-07,0.011,
1978-08,0.015,
1978-09,0.012,
1978-10,0.012,
1978-11,0.011,
1978-12,0.010,
1979-01,0.012,
1979-02,0.012,
1979-03,0.011,
1979-04,0.015,
1979-05,0.010,
1979-06,0.012,
1979-07,0.010,
1979-08,0.010,
1979-09,0.010,
1979-10,0.007,
1979-11,0.011,
1979-12,0.007,
1980-01,0.011,
1980-02,0.012,
1980-03,0.018,
1980-04,0.016,
1980-05,0.018,
1980-06,0.021,
1980-07,0.021,
1980-08,0.019,
1980-09,0.020,
1980-10,0.025,
1980-11,0.025,
1980-12,0.011,
1981-01,0.011,
1981-02,0.011,
1981-03,0.014,
1981-04,0.025,
1981-05,0.026,
1981-06,0.025,
1981-07,0.025,
1981-08,0.021,
1981-09,0.071,
1981-10,0.029,
1981-11,0.030,
1981-12,0.039,
1982-01,0.042,
1982-02,0.032,
1982-03,0.032,
1982-04,0.035,
1982-05,0.042,
1982-06,0.043,
1982-07,0.034,
1982-08,0.032,
1982-09,0.036,
1982-10,0.039,
1982-11,0.036,
1982-12,0.035,
1983-01,0.044,
1983-02,0.030,
1983-03,0.031,
1983-04,0.030,
1983-05,0.028,
1983-06,0.039,
1983-07,0.032,
1983-08,0.030,
1983-09,0.031,
1983-10,0.025,
1983-11,0.034,
1983-12,0.037,
1984-01,0.032,
1984-02,0.018,
1984-03,0.018,
1984-04,0.029,
1984-05,0.055,
1984-06,0.061,
1984-07,0.060,
1984-08,0.062,
1984-09,0.066,
1984-10,0.053,
1984-11,0.055,
1984-12,0.054,
1985-01,0.044,
1985-02,0.040,
1985-03,0.051,
1985-04,0.056,
1985-05,0.055,
1985-06,0.053,
1985-07,0.054,
1985-08,0.062,
1985-09,0.067,
1985-10,0.056,
1985-11,0.063,
1985-12,0.068,
1986-01,0.074,
1986-02,0.063,
1986-03,0.084,
1986-04,0.082,
1986-05,0.122,
1986-06,0.133,
1986-07,0.106,
1986-08,0.092,
1986-09,0.089,
1986-10,0.093,
1986-11,0.097,
1986-12,0.094,
1987-01,0.091,
1987-02,0.088,
1987-03,0.088,
1987-04,0.106,
1987-05,0.102,
1987-06,0.104,
1987-07,0.103,
1987-08,0.093,
1987-09,0.134,
1987-10,0.080,
1987-11,0.103,
1987-12,0.099,
1988-01,0.081,
1988-02,0.065,
1988-03,0.054,
1988-04,0.075,
1988-05,0.096,
1988-06,0.094,
1988-07,0.088,
1988-08,0.080,
1988-09,0.121,
1988-10,0.123,
1988-11,0.076,
1988-12,0.073,
1989-01,0.087,
1989-02,0.083,
1989-03,0.110,
1989-04,0.108,
1989-05,0.106,
1989-06,0.123,
1989-07,0.131,
1989-08,0.129,
1989-09,0.143,
1989-10,0.127,
1989-11,0.140,
1989-12,0.136,
1990-01,0.161,
1990-02,0.198,
1990-03,0.218,
1990-04,0.180,
1990-05,0.250,
1990-06,0.242,
1990-07,0.170,
1990-08,0.169,
1990-09,0.215,
1990-10,0.239,
1990-11,0.192,
1990-12,0.168,
1991-01,0.139,
1991-02,0.171,
1991-03,0.212,
1991-04,0.232,
1991-05,0.278,
1991-06,0.239,
1991-07,0.216,
1991-08,0.266,
1991-09,0.270,
1991-10,0.289,
1991-11,0.250,
1991-12,0.180,
1992-01,0.206,
1992-02,0.210,
1992-03,0.173,
1992-04,0.201,
1992-05,0.202,
1992-06,0.224,
1992-07,0.204,
1992-08,0.218,
1992-09,0.207,
1992-10,0.261,
1992-11,0.312,
1992-12,0.264,
1993-01,0.314,
1993-02,0.230,
1993-03,0.303,
1993-04,0.350,
1993-05,0.271,
1993-06,0.250,
1993-07,0.286,
1993-08,0.304,
1993-09,0.355,
1993-10,0.313,
1993-11,0.295,
1993-12,0.258,
1994-01,0.246,
1994-02,0.247,
1994-03,0.328,
1994-04,0.387,
1994-05,0.359,
1994-06,0.343,
1994-07,0.331,
1994-08,0.366,
1994-09,0.295,
1994-10,0.253,
1994-11,0.191,
1994-12,0.193,
1995-01,0.266,
1995-02,0.370,
1995-03,0.373,
1995-04,0.363,
1995-05,0.430,
1995-06,0.434,
1995-07,0.403,
1995-08,0.423,
1995-09,0.479,
1995-10,0.488,
1995-11,0.301,
1995-12,0.291,
1996-01,0.294,
1996-02,0.309,
1996-03,0.316,
1996-04,0.382,
1996-05,0.538,
1996-06,0.489,
