"",BBK01.CEL90I,BBK01.CEL90I_FLAGS
"",Non-MMF investment fund shares debtor: Total                                   creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:30,
1999-01,11.4,
1999-04,10.4,
1999-07,9.3,
1999-10,9.1,
2000-01,19.0,
2000-04,15.4,
2000-07,12.3,
2000-10,10.2,
2001-01,15.4,
2001-04,8.4,
2001-07,3.9,
2001-10,12.5,
2002-01,13.9,
2002-04,6.2,
2002-07,5.9,
2002-10,4.2,
2003-01,12.6,
2003-04,9.2,
2003-07,1.4,
2003-10,0.0,
2004-01,5.7,
2004-04,1.1,
2004-07,2.2,
2004-10,-4.0,
2005-01,6.3,
2005-04,5.4,
2005-07,7.9,
2005-10,-1.3,
2006-01,6.6,
2006-04,-11.2,
2006-07,-2.3,
2006-10,-8.9,
2007-01,-14.4,
2007-04,-13.9,
2007-07,-8.1,
2007-10,-8.2,
2008-01,-10.8,
2008-04,-0.2,
2008-07,-5.4,
2008-10,-0.1,
2009-01,-2.2,
2009-04,1.3,
2009-07,2.4,
2009-10,3.1,
2010-01,2.4,
2010-04,10.2,
2010-07,-0.2,
2010-10,-0.9,
2011-01,-3.9,
2011-04,1.3,
2011-07,-7.7,
2011-10,-3.8,
2012-01,-2.7,
2012-04,-0.1,
2012-07,-1.7,
2012-10,4.0,
2013-01,6.6,
2013-04,4.7,
2013-07,1.5,
2013-10,0.7,
2014-01,5.7,
2014-04,6.8,
2014-07,7.8,
