"",BBK01.OEYJ01Q,BBK01.OEYJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:31,
2002-01,11.531,
2002-04,11.846,
2002-07,10.758,
2002-10,12.146,
2003-01,11.912,
2003-04,13.032,
2003-07,13.829,
2003-10,13.376,
2004-01,14.416,
2004-04,12.082,
2004-07,12.359,
2004-10,23.871,
2005-01,24.690,
2005-04,24.304,
2005-07,24.918,
2005-10,24.108,
2006-01,23.642,
2006-04,23.228,
2006-07,16.578,
2006-10,18.381,
2007-01,18.580,
2007-04,19.680,
2007-07,20.737,
2007-10,22.868,
2008-01,24.244,
2008-04,27.841,
2008-07,28.325,
2008-10,26.577,
2009-01,32.004,
2009-04,29.650,
2009-07,31.487,
2009-10,29.757,
2010-01,31.043,
2010-04,33.889,
2010-07,33.698,
2010-10,30.661,
2011-01,24.710,
2011-04,24.068,
2011-07,29.373,
2011-10,28.332,
2012-01,28.190,
2012-04,29.462,
2012-07,29.253,
2012-10,29.735,
2013-01,25.734,
2013-04,25.328,
2013-07,24.706,
2013-10,25.378,
2014-01,25.622,
2014-04,26.330,
2014-07,25.799,
