"",BBK01.CELI0N,BBK01.CELI0N_FLAGS
"",Listed Shares debtor: Total                                            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:02,
1999-01,-15.3,
1999-04,18.7,
1999-07,9.1,
1999-10,32.0,
2000-01,57.4,
2000-04,41.2,
2000-07,9.8,
2000-10,-137.3,
2001-01,3.7,
2001-04,69.4,
2001-07,6.3,
2001-10,0.3,
2002-01,7.6,
2002-04,8.6,
2002-07,0.7,
2002-10,2.7,
2003-01,-1.9,
2003-04,2.2,
2003-07,4.5,
2003-10,23.7,
2004-01,-6.3,
2004-04,-14.1,
2004-07,7.0,
2004-10,2.9,
2005-01,3.2,
2005-04,3.5,
2005-07,8.2,
2005-10,20.8,
2006-01,-57.5,
2006-04,-4.9,
2006-07,-10.1,
2006-10,-25.9,
2007-01,39.4,
2007-04,8.7,
2007-07,-2.2,
2007-10,-49.0,
2008-01,35.7,
2008-04,-0.4,
2008-07,3.6,
2008-10,19.8,
2009-01,-42.1,
2009-04,9.5,
2009-07,16.4,
2009-10,0.8,
2010-01,1.7,
2010-04,-8.8,
2010-07,5.0,
2010-10,-10.0,
2011-01,-7.4,
2011-04,17.0,
2011-07,18.5,
2011-10,-11.0,
2012-01,10.1,
2012-04,15.3,
2012-07,8.3,
2012-10,-5.6,
2013-01,-6.1,
2013-04,2.4,
2013-07,-1.5,
2013-10,10.8,
2014-01,-4.3,
2014-04,7.6,
2014-07,4.6,
