"",BBK01.OEHB05J,BBK01.OEHB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:29,
2002-01,9.320,
2002-04,9.602,
2002-07,9.395,
2002-10,9.362,
2003-01,9.356,
2003-04,9.307,
2003-07,9.276,
2003-10,9.365,
2004-01,9.470,
2004-04,9.669,
2004-07,9.647,
2004-10,9.605,
2005-01,10.396,
2005-04,10.396,
2005-07,10.367,
2005-10,10.529,
2006-01,10.391,
2006-04,10.422,
2006-07,10.398,
2006-10,10.394,
2007-01,10.245,
2007-04,10.219,
2007-07,10.225,
2007-10,10.325,
2008-01,10.290,
2008-04,10.446,
2008-07,10.529,
2008-10,10.574,
2009-01,10.527,
2009-04,10.617,
2009-07,9.869,
2009-10,9.840,
2010-01,9.820,
2010-04,9.949,
2010-07,9.788,
2010-10,9.969,
2011-01,9.926,
2011-04,9.975,
2011-07,10.054,
2011-10,10.052,
2012-01,10.097,
2012-04,10.197,
2012-07,10.287,
2012-10,10.239,
2013-01,10.289,
2013-04,10.373,
2013-07,10.339,
2013-10,10.357,
2014-01,10.381,
2014-04,10.441,
2014-07,10.495,
