"",BBK01.PQM351,BBK01.PQM351_FLAGS
"",Lending to domestic enterprises and resident individuals / Short-term / Mortgage banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:52,
1958-10,0.019,
1959-01,-,Nothing exists
1959-04,0.025,
1959-07,-,Nothing exists
1959-10,0.025,
1960-01,-,Nothing exists
1960-04,0.022,
1960-07,-,Nothing exists
1960-10,0.033,
1961-01,-,Nothing exists
1961-04,0.033,
1961-07,-,Nothing exists
1961-10,0.027,
1962-01,-,Nothing exists
1962-04,0.034,
1962-07,-,Nothing exists
1962-10,0.033,
1963-01,-,Nothing exists
1963-04,0.057,
1963-07,-,Nothing exists
1963-10,0.049,
1964-01,-,Nothing exists
1964-04,0.065,
1964-07,-,Nothing exists
1964-10,0.043,
1965-01,0.060,
1965-04,0.071,
1965-07,0.037,
1965-10,0.036,
1966-01,0.054,
1966-04,0.064,
1966-07,0.040,
1966-10,0.044,
1967-01,0.038,
1967-04,0.086,
1967-07,0.070,
1967-10,0.058,
1968-01,0.050,
1968-04,0.092,
1968-07,0.059,
1968-10,0.114,
1969-01,0.119,
1969-04,0.196,
1969-07,0.101,
1969-10,0.167,
1970-01,0.144,
1970-04,0.242,
1970-07,0.173,
1970-10,0.196,
1971-01,0.183,
1971-04,0.359,
1971-07,0.299,
1971-10,0.334,
1972-01,0.285,
1972-04,0.386,
1972-07,0.266,
1972-10,0.297,
1973-01,0.362,
1973-04,0.476,
1973-07,0.353,
1973-10,0.321,
1974-01,0.325,
1974-04,0.485,
1974-07,0.441,
1974-10,0.403,
1975-01,0.514,
1975-04,0.596,
1975-07,0.470,
1975-10,0.466,
1976-01,0.442,
1976-04,0.510,
1976-07,0.428,
1976-10,0.440,
1977-01,0.451,
1977-04,0.538,
1977-07,0.461,
1977-10,0.364,
1978-01,0.488,
1978-04,0.582,
1978-07,0.413,
1978-10,0.346,
1979-01,0.401,
1979-04,0.487,
1979-07,0.437,
1979-10,0.369,
1980-01,0.496,
1980-04,0.456,
1980-07,0.361,
1980-10,0.404,
1981-01,0.550,
1981-04,0.638,
1981-07,0.630,
1981-10,0.614,
1982-01,0.582,
1982-04,0.671,
1982-07,0.587,
1982-10,0.544,
1983-01,0.567,
1983-04,0.819,
1983-07,0.718,
1983-10,0.585,
1984-01,0.603,
1984-04,0.645,
1984-07,0.632,
1984-10,0.582,
1985-01,0.629,
1985-04,0.764,
1985-07,0.604,
1985-10,0.517,
1986-01,0.491,
1986-04,0.585,
1986-07,0.509,
1986-10,0.432,
1987-01,0.375,
1987-04,0.433,
1987-07,0.375,
1987-10,0.414,
1988-01,0.321,
1988-04,0.390,
1988-07,0.342,
1988-10,0.348,
1989-01,0.360,
1989-04,0.424,
1989-07,0.369,
1989-10,0.429,
1990-01,0.459,
1990-04,0.522,
1990-07,0.692,
1990-10,0.858,
1991-01,0.882,
1991-04,0.877,
1991-07,1.060,
1991-10,1.358,
1992-01,1.352,
1992-04,1.561,
1992-07,1.628,
1992-10,1.846,
1993-01,1.783,
1993-04,1.982,
1993-07,1.996,
1993-10,2.776,
1994-01,2.409,
1994-04,2.555,
1994-07,2.401,
1994-10,2.667,
1995-01,2.897,
1995-04,3.464,
1995-07,3.342,
1995-10,3.619,
1996-01,3.478,
1996-04,3.622,
1996-07,4.254,
1996-10,4.566,
1997-01,4.850,
1997-04,5.125,
1997-07,5.618,
1997-10,5.508,
1998-01,5.999,
1998-04,6.410,
1998-07,6.825,
1998-10,7.150,
1999-01,5.841,
1999-04,5.943,
1999-07,5.526,
1999-10,5.491,
2000-01,5.603,
2000-04,6.295,
2000-07,6.081,
2000-10,6.076,
2001-01,6.009,
2001-04,6.733,
2001-07,6.495,
2001-10,6.873,
2002-01,6.589,
2002-04,6.162,
2002-07,5.933,
2002-10,6.650,
2003-01,9.187,
2003-04,9.352,
2003-07,8.298,
2003-10,9.464,
2004-01,8.107,
2004-04,7.748,
2004-07,7.752,
2004-10,8.478,
2005-01,7.415,
2005-04,7.531,
2005-07,7.719,
2005-10,9.084,
2006-01,7.922,
2006-04,7.246,
2006-07,7.235,
2006-10,7.941,
2007-01,7.578,
2007-04,6.909,
2007-07,7.059,
2007-10,12.304,
2008-01,10.997,
2008-04,11.498,
2008-07,11.968,
2008-10,10.824,
2009-01,11.111,
2009-04,6.436,
2009-07,6.054,
2009-10,6.127,
2010-01,5.977,
2010-04,5.673,
2010-07,5.269,
2010-10,5.090,
2011-01,5.466,
2011-04,4.545,
2011-07,4.938,
2011-10,5.357,
2012-01,5.206,
2012-04,5.002,
2012-07,4.481,
2012-10,4.130,
2013-01,3.884,
2013-04,3.934,
2013-07,3.743,
2013-10,3.868,
2014-01,4.000,
2014-04,4.264,
2014-07,3.604,
2014-10,3.023,
