"",BBK01.OELB10V,BBK01.OELB10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:54,
2002-01,0.394,
2002-04,0.412,
2002-07,0.399,
2002-10,0.377,
2003-01,0.380,
2003-04,0.366,
2003-07,0.353,
2003-10,0.316,
2004-01,0.312,
2004-04,0.317,
2004-07,0.318,
2004-10,0.292,
2005-01,0.273,
2005-04,0.266,
2005-07,0.262,
2005-10,0.234,
2006-01,0.230,
2006-04,0.251,
2006-07,0.258,
2006-10,0.222,
2007-01,0.225,
2007-04,0.228,
2007-07,0.240,
2007-10,0.239,
2008-01,0.241,
2008-04,0.255,
2008-07,0.260,
2008-10,0.250,
2009-01,0.253,
2009-04,0.263,
2009-07,0.261,
2009-10,0.229,
2010-01,0.243,
2010-04,0.240,
2010-07,0.243,
2010-10,0.224,
2011-01,0.227,
2011-04,0.235,
2011-07,0.251,
2011-10,0.230,
2012-01,0.244,
2012-04,0.247,
2012-07,0.263,
2012-10,0.279,
2013-01,0.297,
2013-04,0.310,
2013-07,0.328,
2013-10,0.318,
2014-01,0.336,
2014-04,0.373,
2014-07,0.401,
