"",BBK01.OECI03M,BBK01.OECI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:35,
2002-01,2.123,
2002-04,2.094,
2002-07,2.029,
2002-10,2.092,
2003-01,1.918,
2003-04,1.907,
2003-07,1.654,
2003-10,1.727,
2004-01,1.603,
2004-04,1.484,
2004-07,1.458,
2004-10,1.856,
2005-01,2.197,
2005-04,2.306,
2005-07,2.168,
2005-10,2.696,
2006-01,2.630,
2006-04,2.778,
2006-07,2.862,
2006-10,2.905,
2007-01,2.999,
2007-04,2.899,
2007-07,3.547,
2007-10,4.068,
2008-01,4.290,
2008-04,4.517,
2008-07,5.159,
2008-10,5.506,
2009-01,5.008,
2009-04,4.713,
2009-07,3.990,
2009-10,2.902,
2010-01,2.542,
2010-04,2.465,
2010-07,2.498,
2010-10,2.385,
2011-01,2.379,
2011-04,2.591,
2011-07,2.567,
2011-10,2.996,
2012-01,3.458,
2012-04,3.562,
2012-07,4.087,
2012-10,3.186,
2013-01,3.537,
2013-04,3.410,
2013-07,3.398,
2013-10,2.737,
2014-01,2.852,
2014-04,2.846,
2014-07,2.799,
