"",BBK01.OEAH44V,BBK01.OEAH44V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:01,
2002-01,1.804,
2002-04,1.813,
2002-07,1.982,
2002-10,2.124,
2003-01,2.045,
2003-04,2.074,
2003-07,2.074,
2003-10,2.189,
2004-01,2.092,
2004-04,2.144,
2004-07,2.172,
2004-10,2.241,
2005-01,2.176,
2005-04,2.194,
2005-07,2.267,
2005-10,2.423,
2006-01,2.363,
2006-04,2.371,
2006-07,2.459,
2006-10,2.654,
2007-01,2.583,
2007-04,2.609,
2007-07,2.705,
2007-10,2.773,
2008-01,2.684,
2008-04,2.658,
2008-07,2.738,
2008-10,2.931,
2009-01,3.010,
2009-04,3.127,
2009-07,3.321,
2009-10,3.487,
2010-01,3.424,
2010-04,3.542,
2010-07,3.734,
2010-10,3.889,
2011-01,3.793,
2011-04,3.763,
2011-07,3.848,
2011-10,3.967,
2012-01,3.955,
2012-04,4.185,
2012-07,4.395,
2012-10,4.493,
2013-01,4.467,
2013-04,4.582,
2013-07,4.816,
2013-10,5.001,
2014-01,4.989,
2014-04,5.108,
2014-07,5.360,
