"",BBEX3.M.SDG.EUR.CA.AC.A01,BBEX3.M.SDG.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Sudan / EUR 1 = SDG ... (middle),
unit,SDG (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:45,
2007-07,2.74110,comment
2007-08,2.73440,
2007-09,2.90815,
2007-10,2.92965,
2007-11,2.99425,
2007-12,3.02330,
2008-01,3.01400,
2008-02,3.02845,
2008-03,3.20710,
2008-04,3.17160,
2008-05,3.18535,
2008-06,3.20590,
2008-07,3.25590,
2008-08,3.24360,
2008-09,3.22805,
2008-10,2.84000,
2008-11,2.85000,
2008-12,3.09685,
2009-01,2.92390,
2009-02,2.89815,
2009-03,3.06455,
2009-04,3.13000,
2009-05,3.33325,
2009-06,3.35295,
2009-07,3.40660,
2009-08,3.48970,
2009-09,3.37795,
2009-10,3.36970,
2009-11,3.36500,
2009-12,3.21955,
2010-01,3.10255,
2010-02,3.04380,
2010-03,2.99325,
2010-04,2.94715,
2010-05,2.79485,
2010-06,2.89855,
2010-07,3.09620,
2010-08,3.00590,
2010-09,3.22735,
2010-10,3.31785,
2010-11,3.16690,
2010-12,3.31465,
2011-01,3.41420,
2011-02,3.70585,
2011-03,3.95915,
2011-04,3.97920,
2011-05,3.85100,
2011-06,3.88600,
2011-07,3.85390,
2011-08,3.88790,
2011-09,3.64430,
2011-10,3.74975,
2011-11,3.56800,
2011-12,3.45880,
2012-01,3.53050,
2012-02,3.60790,
2012-03,3.55005,
2012-04,3.54655,
2012-05,3.31235,
2012-06,5.51175,comment
2012-07,5.41340,
2012-08,5.52890,
2012-09,5.66955,
2012-10,5.71455,
2012-11,5.71230,
2012-12,5.82430,
2013-01,5.98390,
2013-02,5.79565,
2013-03,5.65370,
2013-04,5.77450,
2013-05,5.71535,
2013-06,5.73700,
2013-07,5.84590,
2013-08,5.87940,
2013-09,7.67695,comment
2013-10,7.79585,
2013-11,7.73430,
2013-12,7.85850,
2014-01,7.77590,
2014-02,7.79585,
2014-03,7.83000,
2014-04,7.86535,
2014-05,7.75030,
2014-06,7.77480,
2014-07,7.66885,
2014-08,7.48030,
2014-09,7.23195,
2014-10,7.18865,
2014-11,7.29930,
2014-12,7.26400,
2015-01,6.73005,
"","General: Listed in SDD until June 2007; see BBEX2:M:SDD:EUR:CA:AC:A01. The Sudanese pound (SDG) has been in circulation since 10 January 2007, when it was introduced at a rate of SDD 100 = SDG 1. The SDD remained legal tender alongside the SDG until 30 June 2007.",
"","Source: Calculated on the basis of the buying and selling rates of the Central Bank of Sudan (Bank of Sudan), Khartoum.",
"",Comment on 2007-07: Listed in SDD until June 2007; see BBEX2:M:SDD:EUR:CA:AC:A01.,
"",Comment on 2012-06: The Sudanese pound was devalued on 25 June 2012. We recorded the following exchange rates (buying/selling): 24 June 2012: EUR 1 = SDG 3.3570 / 3.3738 25 June 2012: EUR 1 = SDG 5.5414 / 5.5691 Calculated devaluation: 39.4%.,
"",Comment on 2013-09: The Sudanese pound was devalued on 24 September 2013. We recorded the following exchange rates (buying/selling): 23 September 2013: EUR 1 = SDG 5.9487 / 5.9785 24 September 2013: EUR 1 = SDG 7.6533 / 7.6916 Calculated devaluation: 22.3%.,
