"",BBK01.OEAF05Q,BBK01.OEAF05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:23,
2002-01,7.917,
2002-04,7.874,
2002-07,7.822,
2002-10,7.753,
2003-01,7.772,
2003-04,8.140,
2003-07,7.971,
2003-10,7.977,
2004-01,8.397,
2004-04,7.793,
2004-07,7.583,
2004-10,7.471,
2005-01,7.377,
2005-04,7.247,
2005-07,7.258,
2005-10,7.228,
2006-01,7.225,
2006-04,7.181,
2006-07,7.129,
2006-10,7.237,
2007-01,7.378,
2007-04,6.805,
2007-07,6.767,
2007-10,6.743,
2008-01,6.561,
2008-04,6.565,
2008-07,6.516,
2008-10,6.549,
2009-01,6.440,
2009-04,6.476,
2009-07,6.432,
2009-10,6.769,
2010-01,6.279,
2010-04,6.429,
2010-07,6.064,
2010-10,5.843,
2011-01,5.822,
2011-04,5.781,
2011-07,5.809,
2011-10,5.609,
2012-01,5.557,
2012-04,5.574,
2012-07,5.562,
2012-10,5.342,
2013-01,5.283,
2013-04,5.273,
2013-07,5.281,
2013-10,5.218,
2014-01,5.113,
2014-04,5.099,
2014-07,5.005,
