"",BBK01.OECJ03V,BBK01.OECJ03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:28,
2002-01,0.795,
2002-04,0.820,
2002-07,0.908,
2002-10,0.934,
2003-01,0.929,
2003-04,0.845,
2003-07,0.852,
2003-10,0.923,
2004-01,0.811,
2004-04,0.766,
2004-07,0.818,
2004-10,0.761,
2005-01,0.635,
2005-04,0.587,
2005-07,0.585,
2005-10,0.639,
2006-01,0.652,
2006-04,0.643,
2006-07,0.714,
2006-10,0.919,
2007-01,0.974,
2007-04,0.885,
2007-07,0.932,
2007-10,0.991,
2008-01,1.000,
2008-04,1.096,
2008-07,1.291,
2008-10,1.265,
2009-01,1.065,
2009-04,0.958,
2009-07,0.852,
2009-10,0.842,
2010-01,0.981,
2010-04,0.965,
2010-07,0.923,
2010-10,0.808,
2011-01,1.077,
2011-04,1.019,
2011-07,0.917,
2011-10,0.950,
2012-01,0.921,
2012-04,0.904,
2012-07,0.811,
2012-10,0.660,
2013-01,0.577,
2013-04,0.556,
2013-07,0.569,
2013-10,0.582,
2014-01,0.706,
2014-04,0.715,
2014-07,0.625,
