"",BBFN1.M.DE.N.1.A.TW.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TW.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from credit terms granted / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:18,
1994-07,0.633,
1994-08,0.628,
1994-09,0.667,
1994-10,0.662,
1994-11,0.696,
1994-12,0.653,
1995-01,0.681,
1995-02,0.754,
1995-03,0.817,
1995-04,0.836,
1995-05,0.822,
1995-06,0.666,
1995-07,0.958,
1995-08,0.860,
1995-09,0.609,
1995-10,0.562,
1995-11,0.545,
1995-12,0.651,
1996-01,0.633,
1996-02,0.657,
1996-03,0.637,
1996-04,0.617,
1996-05,0.649,
1996-06,0.775,
1996-07,0.782,
1996-08,0.714,
1996-09,0.757,
1996-10,0.865,
1996-11,0.788,
1996-12,0.717,
1997-01,0.677,
1997-02,0.717,
1997-03,0.807,
1997-04,0.840,
1997-05,0.853,
1997-06,1.028,
1997-07,0.875,
1997-08,0.908,
1997-09,1.001,
1997-10,0.971,
1997-11,0.925,
1997-12,1.556,
1998-01,0.926,
1998-02,0.952,
1998-03,0.973,
1998-04,1.069,
1998-05,1.050,
1998-06,1.005,
1998-07,0.986,
1998-08,0.942,
1998-09,1.042,
1998-10,0.967,
1998-11,0.928,
1998-12,0.852,
1999-01,0.833,
1999-02,0.891,
1999-03,0.914,
1999-04,0.874,
1999-05,0.910,
1999-06,0.998,
1999-07,0.956,
1999-08,0.972,
1999-09,1.084,
1999-10,1.020,
1999-11,1.083,
1999-12,1.054,
2000-01,1.033,
2000-02,1.088,
2000-03,1.040,
2000-04,1.081,
2000-05,1.083,
2000-06,1.151,
2000-07,1.172,
2000-08,1.196,
2000-09,1.251,
2000-10,1.215,
2000-11,1.116,
2000-12,1.012,
2001-01,1.015,
2001-02,1.011,
2001-03,0.997,
2001-04,0.968,
2001-05,0.949,
2001-06,0.954,
2001-07,0.855,
2001-08,0.869,
2001-09,0.985,
2001-10,0.940,
2001-11,0.931,
2001-12,0.930,
2002-01,0.841,
2002-02,0.854,
2002-03,0.919,
2002-04,1.013,
2002-05,0.946,
2002-06,0.950,
2002-07,0.852,
2002-08,0.892,
2002-09,0.938,
2002-10,0.859,
2002-11,0.902,
2002-12,0.925,
2003-01,0.956,
2003-02,0.794,
2003-03,0.764,
2003-04,0.740,
2003-05,0.681,
2003-06,0.672,
2003-07,0.739,
2003-08,0.732,
2003-09,0.666,
2003-10,0.620,
2003-11,0.618,
2003-12,0.572,
2004-01,0.587,
2004-02,0.581,
2004-03,0.600,
2004-04,0.600,
2004-05,0.639,
2004-06,0.617,
2004-07,0.642,
2004-08,0.621,
2004-09,0.714,
2004-10,0.675,
2004-11,0.636,
2004-12,0.647,
2005-01,0.667,
2005-02,0.622,
2005-03,0.646,
2005-04,0.667,
2005-05,0.679,
2005-06,0.665,
2005-07,0.740,
2005-08,0.744,
2005-09,0.779,
2005-10,0.771,
2005-11,0.761,
2005-12,0.705,
2006-01,0.741,
2006-02,0.725,
2006-03,0.723,
2006-04,0.733,
2006-05,0.809,
2006-06,0.800,
2006-07,0.698,
2006-08,0.732,
2006-09,0.791,
2006-10,0.782,
2006-11,0.759,
2006-12,0.688,
2007-01,0.686,
2007-02,0.728,
2007-03,0.683,
2007-04,0.770,
2007-05,0.722,
2007-06,0.755,
2007-07,0.729,
2007-08,0.740,
2007-09,0.845,
2007-10,0.860,
2007-11,0.854,
2007-12,0.814,
2008-01,0.809,
2008-02,0.756,
2008-03,0.716,
2008-04,0.678,
2008-05,0.639,
2008-06,0.699,
2008-07,0.730,
2008-08,0.671,
2008-09,0.710,
2008-10,0.675,
2008-11,0.597,
2008-12,0.577,
2009-01,0.476,
2009-02,0.437,
2009-03,0.444,
2009-04,0.442,
2009-05,0.461,
2009-06,0.493,
2009-07,0.496,
2009-08,0.497,
2009-09,0.571,
2009-10,0.552,
2009-11,0.527,
2009-12,0.489,
2010-01,0.509,
2010-02,0.603,
2010-03,0.638,
2010-04,0.651,
2010-05,0.651,
2010-06,0.670,
2010-07,0.681,
2010-08,0.634,
2010-09,0.691,
2010-10,0.698,
2010-11,0.697,
2010-12,0.596,
2011-01,0.652,
2011-02,0.659,
2011-03,0.709,
2011-04,0.771,
2011-05,0.724,
2011-06,0.665,
2011-07,0.707,
2011-08,0.678,
2011-09,0.739,
2011-10,0.743,
2011-11,0.734,
2011-12,0.653,
2012-01,0.692,
2012-02,0.707,
2012-03,0.756,
2012-04,0.710,
2012-05,0.746,
2012-06,0.739,
2012-07,0.763,
2012-08,0.693,
2012-09,0.799,
2012-10,0.770,
2012-11,0.806,
2012-12,0.815,
2013-01,0.688,
2013-02,0.710,
2013-03,0.771,
2013-04,0.735,
2013-05,0.691,
2013-06,0.686,
2013-07,0.729,
2013-08,0.744,
2013-09,0.786,
2013-10,0.786,
2013-11,0.808,
2013-12,0.763,
2014-01,0.761,
2014-02,0.766,
2014-03,0.772,
2014-04,0.769,
2014-05,0.759,
2014-06,0.835,
2014-07,0.816,
2014-08,0.812,
2014-09,0.923,
2014-10,0.948,
2014-11,0.918,
2014-12,0.851,
