"",BBK01.OELM01O,BBK01.OELM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:29,
2002-01,0.230,
2002-04,0.256,
2002-07,0.243,
2002-10,0.255,
2003-01,0.225,
2003-04,0.238,
2003-07,0.247,
2003-10,0.270,
2004-01,0.231,
2004-04,0.261,
2004-07,0.250,
2004-10,0.284,
2005-01,0.275,
2005-04,0.256,
2005-07,0.237,
2005-10,0.305,
2006-01,0.386,
2006-04,0.367,
2006-07,0.407,
2006-10,0.440,
2007-01,0.436,
2007-04,0.485,
2007-07,0.436,
2007-10,0.410,
2008-01,0.436,
2008-04,0.509,
2008-07,0.424,
2008-10,0.447,
2009-01,0.450,
2009-04,0.623,
2009-07,0.624,
2009-10,0.449,
2010-01,0.454,
2010-04,0.522,
2010-07,0.542,
2010-10,0.555,
2011-01,0.516,
2011-04,0.431,
2011-07,0.389,
2011-10,0.469,
2012-01,0.374,
2012-04,0.440,
2012-07,0.494,
2012-10,0.403,
2013-01,0.388,
2013-04,0.426,
2013-07,0.458,
2013-10,0.387,
2014-01,0.628,
2014-04,0.647,
2014-07,0.694,
