"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.EUR.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign affiliated enterprises arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:03,
1971-12,0.597,
1972-01,0.590,
1972-02,0.590,
1972-03,0.564,
1972-04,0.577,
1972-05,0.588,
1972-06,0.588,
1972-07,0.585,
1972-08,0.596,
1972-09,0.658,
1972-10,0.668,
1972-11,0.663,
1972-12,0.705,
1973-01,0.703,
1973-02,0.689,
1973-03,0.678,
1973-04,0.686,
1973-05,0.681,
1973-06,0.687,
1973-07,0.711,
1973-08,0.745,
1973-09,0.738,
1973-10,0.732,
1973-11,0.718,
1973-12,0.705,
1974-01,0.710,
1974-02,0.707,
1974-03,0.726,
1974-04,0.720,
1974-05,0.710,
1974-06,0.745,
1974-07,0.764,
1974-08,0.774,
1974-09,0.802,
1974-10,0.822,
1974-11,0.836,
1974-12,0.872,
1975-01,0.917,
1975-02,0.931,
1975-03,0.965,
1975-04,0.962,
1975-05,0.969,
1975-06,0.996,
1975-07,1.043,
1975-08,1.026,
1975-09,1.017,
1975-10,1.032,
1975-11,1.033,
1975-12,1.029,
1976-01,1.032,
1976-02,1.042,
1976-03,1.029,
1976-04,1.053,
1976-05,1.092,
1976-06,1.110,
1976-07,1.092,
1976-08,1.153,
1976-09,1.135,
1976-10,1.117,
1976-11,1.124,
1976-12,1.190,
1977-01,1.173,
1977-02,1.144,
1977-03,1.131,
1977-04,1.139,
1977-05,1.165,
1977-06,1.162,
1977-07,1.335,
1977-08,1.373,
1977-09,1.367,
1977-10,1.389,
1977-11,1.394,
1977-12,1.350,
1978-01,1.379,
1978-02,1.374,
1978-03,1.405,
1978-04,1.439,
1978-05,1.472,
1978-06,1.476,
1978-07,1.524,
1978-08,1.546,
1978-09,1.537,
1978-10,1.535,
1978-11,1.258,
1978-12,1.308,
1979-01,1.386,
1979-02,1.350,
1979-03,1.373,
1979-04,1.398,
1979-05,1.403,
1979-06,1.419,
1979-07,1.425,
1979-08,1.416,
1979-09,1.445,
1979-10,1.425,
1979-11,1.414,
1979-12,1.522,
1980-01,1.584,
1980-02,1.564,
1980-03,1.570,
1980-04,1.583,
1980-05,1.553,
1980-06,1.566,
1980-07,1.538,
1980-08,1.452,
1980-09,1.461,
1980-10,1.498,
1980-11,1.474,
1980-12,1.452,
1981-01,1.476,
1981-02,1.510,
1981-03,1.529,
1981-04,1.548,
1981-05,1.561,
1981-06,1.561,
1981-07,1.571,
1981-08,1.610,
1981-09,1.549,
1981-10,1.587,
1981-11,1.593,
1981-12,1.641,
1982-01,1.676,
1982-02,1.873,
1982-03,1.931,
