"",BBK01.OEXO06R,BBK01.OEXO06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:18,
2002-01,0.649,
2002-04,0.612,
2002-07,0.623,
2002-10,0.632,
2003-01,0.620,
2003-04,0.592,
2003-07,0.583,
2003-10,0.577,
2004-01,0.560,
2004-04,0.536,
2004-07,0.517,
2004-10,0.406,
2005-01,0.424,
2005-04,0.421,
2005-07,0.409,
2005-10,0.426,
2006-01,0.438,
2006-04,0.439,
2006-07,0.446,
2006-10,0.473,
2007-01,0.571,
2007-04,0.598,
2007-07,0.639,
2007-10,0.704,
2008-01,0.759,
2008-04,0.786,
2008-07,0.820,
2008-10,0.940,
2009-01,0.915,
2009-04,0.889,
2009-07,0.893,
2009-10,0.840,
2010-01,0.780,
2010-04,0.760,
2010-07,0.739,
2010-10,0.792,
2011-01,0.859,
2011-04,0.872,
2011-07,0.865,
2011-10,0.871,
2012-01,0.850,
2012-04,0.848,
2012-07,0.829,
2012-10,0.795,
2013-01,0.744,
2013-04,0.703,
2013-07,0.692,
2013-10,0.688,
2014-01,0.676,
2014-04,0.659,
2014-07,0.698,
