"",BBK01.CEL005,BBK01.CEL005_FLAGS
"",Acquisition of financial assets total debtor: Total                                            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:28,
1999-01,-7.1,
1999-04,25.9,
1999-07,-17.1,
1999-10,6.9,
2000-01,34.7,
2000-04,15.8,
2000-07,-17.4,
2000-10,-2.6,
2001-01,43.1,
2001-04,-4.0,
2001-07,-9.1,
2001-10,-8.2,
2002-01,4.8,
2002-04,-13.3,
2002-07,1.6,
2002-10,-21.3,
2003-01,31.4,
2003-04,10.3,
2003-07,6.0,
2003-10,-14.5,
2004-01,10.5,
2004-04,5.2,
2004-07,0.9,
2004-10,-16.7,
2005-01,40.4,
2005-04,6.6,
2005-07,34.6,
2005-10,-22.5,
2006-01,75.9,
2006-04,3.1,
2006-07,61.7,
2006-10,-26.9,
2007-01,61.5,
2007-04,40.7,
2007-07,-25.1,
2007-10,-4.6,
2008-01,58.7,
2008-04,17.8,
2008-07,17.0,
2008-10,-34.4,
2009-01,126.5,
2009-04,7.3,
2009-07,18.4,
2009-10,23.3,
2010-01,28.0,
2010-04,80.2,
2010-07,3.6,
2010-10,-23.8,
2011-01,15.4,
2011-04,41.8,
2011-07,33.6,
2011-10,-79.4,
2012-01,7.4,
2012-04,40.4,
2012-07,44.1,
2012-10,5.3,
2013-01,57.4,
2013-04,58.5,
2013-07,-63.6,
2013-10,-10.0,
2014-01,47.8,
2014-04,10.7,
2014-07,-1.8,
