"",BBK01.OECO04O,BBK01.OECO04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:33,
2002-01,-0.038,
2002-04,-0.189,
2002-07,-0.010,
2002-10,0.044,
2003-01,0.049,
2003-04,0.006,
2003-07,0.136,
2003-10,0.025,
2004-01,-0.003,
2004-04,0.009,
2004-07,0.148,
2004-10,0.043,
2005-01,-0.005,
2005-04,-0.022,
2005-07,-0.074,
2005-10,-0.075,
2006-01,-0.060,
2006-04,-0.062,
2006-07,-0.076,
2006-10,-0.068,
2007-01,0.046,
2007-04,-0.021,
2007-07,-0.056,
2007-10,-0.021,
2008-01,0.007,
2008-04,0.064,
2008-07,-0.065,
2008-10,0.027,
2009-01,0.043,
2009-04,0.141,
2009-07,0.141,
2009-10,0.012,
2010-01,0.027,
2010-04,-0.051,
2010-07,0.019,
2010-10,0.035,
2011-01,-0.019,
2011-04,-0.083,
2011-07,-0.009,
2011-10,-0.005,
2012-01,0.231,
2012-04,-0.071,
2012-07,-0.026,
2012-10,0.006,
2013-01,-0.090,
2013-04,-0.042,
2013-07,-0.098,
2013-10,-0.057,
2014-01,-0.056,
2014-04,-0.048,
2014-07,0.078,
