"",BBK01.CEFV0J,BBK01.CEFV0J_FLAGS
"",long-term savings deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:06,
1999-01,112.2,
1999-04,105.8,
1999-07,104.5,
1999-10,103.3,
2000-01,105.2,
2000-04,108.6,
2000-07,114.6,
2000-10,115.9,
2001-01,116.9,
2001-04,114.2,
2001-07,112.4,
2001-10,106.6,
2002-01,102.1,
2002-04,100.0,
2002-07,100.6,
2002-10,96.8,
2003-01,93.1,
2003-04,88.4,
2003-07,84.9,
2003-10,84.1,
2004-01,83.1,
2004-04,81.4,
2004-07,81.7,
2004-10,82.7,
2005-01,83.9,
2005-04,83.1,
2005-07,80.5,
2005-10,79.5,
2006-01,81.8,
2006-04,85.0,
2006-07,89.4,
2006-10,94.4,
2007-01,100.5,
2007-04,102.0,
2007-07,104.6,
2007-10,105.1,
2008-01,103.3,
2008-04,100.8,
2008-07,99.2,
2008-10,106.6,
2009-01,108.0,
2009-04,111.8,
2009-07,115.6,
2009-10,114.3,
2010-01,112.6,
2010-04,108.4,
2010-07,103.0,
2010-10,100.9,
2011-01,101.3,
2011-04,100.9,
2011-07,100.8,
2011-10,96.9,
2012-01,95.2,
2012-04,93.6,
2012-07,90.1,
2012-10,85.2,
2013-01,81.1,
2013-04,77.0,
2013-07,74.5,
2013-10,73.4,
2014-01,73.3,
2014-04,72.1,
2014-07,74.4,
