"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.NV00.Z06.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:44,
1971-06,1.042,
1971-07,0.974,
1971-08,1.048,
1971-09,1.056,
1971-10,1.100,
1971-11,1.148,
1971-12,0.978,
1972-01,1.039,
1972-02,0.972,
1972-03,0.797,
1972-04,0.778,
1972-05,0.708,
1972-06,0.681,
1972-07,0.720,
1972-08,0.769,
1972-09,0.730,
1972-10,0.764,
1972-11,0.772,
1972-12,0.498,
1973-01,0.513,
1973-02,0.506,
1973-03,0.522,
1973-04,0.530,
1973-05,0.533,
1973-06,0.526,
1973-07,0.508,
1973-08,0.510,
1973-09,0.481,
1973-10,0.494,
1973-11,0.515,
1973-12,0.496,
1974-01,0.483,
1974-02,0.496,
1974-03,0.584,
1974-04,0.582,
1974-05,0.560,
1974-06,0.563,
1974-07,0.581,
1974-08,0.590,
1974-09,0.628,
1974-10,0.646,
1974-11,0.698,
1974-12,0.681,
1975-01,0.571,
1975-02,0.530,
1975-03,0.582,
1975-04,0.600,
1975-05,0.538,
1975-06,0.542,
1975-07,0.525,
1975-08,0.434,
1975-09,0.448,
1975-10,0.478,
1975-11,0.424,
1975-12,0.440,
1976-01,0.510,
1976-02,0.514,
1976-03,0.565,
1976-04,0.533,
1976-05,0.646,
1976-06,0.644,
1976-07,0.667,
1976-08,0.577,
1976-09,0.698,
1976-10,0.728,
1976-11,0.685,
1976-12,0.688,
1977-01,0.697,
1977-02,0.692,
1977-03,0.690,
1977-04,0.803,
1977-05,0.722,
1977-06,0.739,
1977-07,0.680,
1977-08,0.785,
1977-09,0.737,
1977-10,0.801,
1977-11,0.831,
1977-12,0.869,
1978-01,0.902,
1978-02,1.011,
1978-03,1.031,
1978-04,0.999,
1978-05,1.015,
1978-06,0.963,
1978-07,1.011,
1978-08,0.862,
1978-09,1.039,
1978-10,0.975,
1978-11,0.882,
1978-12,0.803,
1979-01,0.798,
1979-02,0.763,
1979-03,0.745,
1979-04,0.734,
1979-05,0.791,
1979-06,0.815,
1979-07,0.764,
1979-08,0.796,
1979-09,0.763,
1979-10,0.705,
1979-11,0.727,
1979-12,0.706,
1980-01,0.778,
1980-02,0.811,
1980-03,0.956,
1980-04,0.955,
1980-05,0.879,
1980-06,0.927,
1980-07,0.899,
1980-08,0.874,
1980-09,0.911,
1980-10,0.961,
1980-11,0.997,
1980-12,1.086,
1981-01,1.102,
1981-02,1.215,
1981-03,1.385,
1981-04,1.442,
1981-05,1.414,
1981-06,1.325,
1981-07,1.371,
1981-08,1.426,
1981-09,1.357,
1981-10,1.445,
1981-11,1.387,
1981-12,1.483,
1982-01,1.520,
1982-02,1.647,
1982-03,1.585,
1982-04,1.652,
1982-05,1.715,
1982-06,1.817,
1982-07,1.811,
1982-08,1.792,
1982-09,1.710,
1982-10,1.693,
1982-11,1.753,
1982-12,1.329,
1983-01,1.403,
1983-02,1.600,
