"",BBK01.RJ2053,BBK01.RJ2053_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:24:42,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,.,No value available
1994,-,Nothing exists
1995,.,No value available
1996,7,
1997,7,
1998,7,
1999,.,No value available
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,-,Nothing exists
2005,.,No value available
2006,.,No value available
2007,-,Nothing exists
2008,-,Nothing exists
2009,.,No value available
2010,.,No value available
2011,.,No value available
2012,.,No value available
