"",BBK01.OELO01I,BBK01.OELO01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:10,
2002-01,2.557,
2002-04,2.521,
2002-07,2.439,
2002-10,2.436,
2003-01,2.556,
2003-04,2.617,
2003-07,2.575,
2003-10,2.460,
2004-01,2.488,
2004-04,2.439,
2004-07,2.375,
2004-10,2.349,
2005-01,2.375,
2005-04,2.360,
2005-07,2.305,
2005-10,2.296,
2006-01,2.322,
2006-04,2.334,
2006-07,2.289,
2006-10,2.241,
2007-01,2.249,
2007-04,2.179,
2007-07,2.137,
2007-10,2.135,
2008-01,2.154,
2008-04,2.136,
2008-07,2.077,
2008-10,2.050,
2009-01,2.051,
2009-04,2.034,
2009-07,1.950,
2009-10,1.882,
2010-01,1.954,
2010-04,1.969,
2010-07,1.942,
2010-10,1.887,
2011-01,1.837,
2011-04,1.812,
2011-07,1.805,
2011-10,1.754,
2012-01,1.760,
2012-04,1.729,
2012-07,1.729,
2012-10,1.733,
2013-01,1.774,
2013-04,1.813,
2013-07,1.864,
2013-10,1.831,
2014-01,1.808,
2014-04,1.841,
2014-07,1.842,
