"",BBSF2.M.1.T.00000.AKT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.AKT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Equity funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:17,
2009-09,91473,
2009-10,89218,
2009-11,88811,
2009-12,93676,
2010-01,87857,
2010-02,87760,
2010-03,93510,
2010-04,91783,
2010-05,94187,
2010-06,88143,
2010-07,90981,
2010-08,88823,
2010-09,91126,
2010-10,95774,
2010-11,94792,
2010-12,99273,
2011-01,99822,
2011-02,101856,
2011-03,100906,
2011-04,104242,
2011-05,103304,
2011-06,103135,
2011-07,103467,
2011-08,90545,
2011-09,86589,
2011-10,92529,
2011-11,89862,
2011-12,89829,
2012-01,95429,
2012-02,98362,
2012-03,98006,
2012-04,88913,
2012-05,87054,
2012-06,88372,
2012-07,92819,
2012-08,94121,
2012-09,96160,
2012-10,96632,
2012-11,99310,
2012-12,103486,
2013-01,105034,
2013-02,104586,
2013-03,105813,
2013-04,106545,
2013-05,108732,
2013-06,104748,
2013-07,108167,
2013-08,106856,
2013-09,111284,
2013-10,116322,
2013-11,119414,
2013-12,119139,
2014-01,116054,
2014-02,120534,
2014-03,119642,
2014-04,123898,
2014-05,126632,
2014-06,126457,
2014-07,122895,
2014-08,124892,
2014-09,121527,
2014-10,112507,
2014-11,117459,
