"",BBFB1.Q.N.DE.I7.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:51,
1991-01,1051.048,
1991-04,493.645,
1991-07,859.068,
1991-10,585.860,
1992-01,351.582,
1992-04,407.647,
1992-07,233.598,
1992-10,-164.053,
1993-01,-81.981,
1993-04,-150.494,
1993-07,-259.507,
1993-10,-751.242,
1994-01,-751.349,
1994-04,-779.487,
1994-07,-849.887,
1994-10,-1458.078,
1995-01,-1842.590,
1995-04,-2096.076,
1995-07,-2588.644,
1995-10,-3146.950,
1996-01,-1273.657,
1996-04,-1617.521,
1996-07,-3417.779,
1996-10,-1545.816,
1997-01,-2194.353,
1997-04,-1979.112,
1997-07,-1927.214,
1997-10,-1442.811,
1998-01,-2096.371,
1998-04,-2275.754,
1998-07,-2005.409,
1998-10,-1716.675,
1999-01,-2170.705,
1999-04,-2383.083,
1999-07,-2425.408,
1999-10,-2942.400,
2000-01,-121.982,
2000-04,-664.261,
2000-07,-2922.228,
2000-10,2406.785,
2001-01,-2747.654,
2001-04,-3184.918,
2001-07,-3470.396,
2001-10,-4634.291,
2002-01,-4880.284,
2002-04,-5272.523,
2002-07,-5015.649,
2002-10,-5193.441,
2003-01,-5072.991,
2003-04,-5955.912,
2003-07,-5054.187,
2003-10,-4891.712,
2004-01,-2647.428,
2004-04,-1159.775,
2004-07,-769.600,
2004-10,-811.390,
2005-01,-1450.439,
2005-04,-1891.994,
2005-07,-1497.688,
2005-10,-643.658,
2006-01,2978.350,
2006-04,2779.394,
2006-07,3834.824,
2006-10,4681.694,
2007-01,5031.120,
2007-04,3515.459,
2007-07,4571.016,
2007-10,4984.326,
2008-01,6606.810,
2008-04,2056.212,
2008-07,2717.902,
2008-10,3935.558,
2009-01,8529.513,
2009-04,7406.041,
2009-07,10367.366,
2009-10,10821.420,
2010-01,5589.365,
2010-04,2374.466,
2010-07,4623.497,
2010-10,5417.075,
2011-01,8141.160,
2011-04,4918.229,
2011-07,9870.165,
2011-10,10334.062,
2012-01,9279.801,
2012-04,6966.334,
2012-07,9631.451,
2012-10,10185.602,
2013-01,10082.751,
2013-04,7651.155,
2013-07,8732.520,
2013-10,11626.253,
2014-01,9162.920,Provisional value
2014-04,6941.413,Provisional value
2014-07,9905.670,Provisional value
