"",BBSF2.M.1.S.00000.REN01.A.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.A.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Distribution funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:43,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,35974,
1993-05,36539,
1993-06,37287,
1993-07,38879,
1993-08,41283,
1993-09,42140,
1993-10,43274,
1993-11,43970,
1993-12,44933,
1994-01,45392,
1994-02,45588,
1994-03,46065,
1994-04,46375,
1994-05,46318,
1994-06,47810,
1994-07,48991,
1994-08,49226,
1994-09,49173,
1994-10,49360,
1994-11,50661,
1994-12,50289,
1995-01,50621,
1995-02,51482,
1995-03,53335,
1995-04,54170,
1995-05,55432,
1995-06,55281,
1995-07,56788,
1995-08,57498,
1995-09,57947,
1995-10,58727,
1995-11,59531,
1995-12,60713,
1996-01,62669,
1996-02,62598,
1996-03,63658,
1996-04,64961,
1996-05,65612,
1996-06,65902,
1996-07,66849,
1996-08,67769,
1996-09,68696,
1996-10,70307,
1996-11,71619,
1996-12,72010,
1997-01,73924,
1997-02,75550,
1997-03,76536,
1997-04,78435,
1997-05,79029,
1997-06,82532,
1997-07,83855,
1997-08,84011,
1997-09,84064,
1997-10,82166,
1997-11,83107,
1997-12,85560,
1998-01,87552,
1998-02,89462,
1998-03,90782,
1998-04,90777,
1998-05,93592,
1998-06,95265,
1998-07,96919,
1998-08,99020,
1998-09,99610,
1998-10,101009,
1998-11,101890,
1998-12,104361,
1999-01,108025,
1999-02,108150,
1999-03,108011,
1999-04,112571,
1999-05,113769,
1999-06,111834,
1999-07,111111,
1999-08,110830,
1999-09,110724,
1999-10,111573,
1999-11,114531,
1999-12,121076,
2000-01,120912,
2000-02,123453,
2000-03,123301,
2000-04,125182,
2000-05,125359,
2000-06,125434,
2000-07,126683,
2000-08,128446,
2000-09,129058,
2000-10,130507,
2000-11,129909,
2000-12,131331,
2001-01,135338,
2001-02,135459,
2001-03,136119,
2001-04,135862,
2001-05,134533,
2001-06,135686,
2001-07,137543,
2001-08,137810,
2001-09,138000,
2001-10,141807,
2001-11,141444,
2001-12,144411,
2002-01,144435,
2002-02,145761,
2002-03,144757,
2002-04,145993,
2002-05,146822,
2002-06,145978,
2002-07,145357,
2002-08,149432,
2002-09,150805,
2002-10,151795,
2002-11,151970,
2002-12,150524,
2003-01,151901,
2003-02,154209,
2003-03,151748,
2003-04,153168,
2003-05,155164,
2003-06,155909,
2003-07,155279,
2003-08,156144,
2003-09,157053,
2003-10,153076,
2003-11,153128,
2003-12,149301,
2004-01,148469,
2004-02,148836,
2004-03,149295,
2004-04,148929,
2004-05,146369,
2004-06,146388,
2004-07,147646,
2004-08,148372,
2004-09,148476,
2004-10,149859,
2004-11,152002,
2004-12,154291,
2005-01,156802,
2005-02,155977,
2005-03,154818,
2005-04,155683,
2005-05,158916,
2005-06,160493,
2005-07,162024,
2005-08,161947,
2005-09,161900,
2005-10,159099,
2005-11,158641,
2005-12,158146,
2006-01,155567,
2006-02,154882,
2006-03,154259,
2006-04,153547,
2006-05,153469,
2006-06,153183,
2006-07,153847,
2006-08,156105,
2006-09,166444,
2006-10,167334,
2006-11,168775,
2006-12,165423,
2007-01,168698,
2007-02,171846,
2007-03,172525,
2007-04,176110,
2007-05,172742,
2007-06,172234,
2007-07,173127,
2007-08,173944,
2007-09,173912,
2007-10,176123,
2007-11,170874,
2007-12,175718,
2008-01,176886,
2008-02,177024,
2008-03,175199,
2008-04,176977,
2008-05,176416,
2008-06,172228,
2008-07,173546,
2008-08,176076,
2008-09,174954,
2008-10,171764,
2008-11,175140,
2008-12,175897,
2009-01,177241,
2009-02,177404,
2009-03,179787,
2009-04,181310,
2009-05,199972,
2009-06,203061,
2009-07,215542,
2009-08,220275,
2009-09,224532,
2009-10,223360,
2009-11,226925,
2009-12,229182,
2010-01,235100,
2010-02,238715,
2010-03,242790,
2010-04,245015,
2010-05,247669,
2010-06,247385,
2010-07,247826,
2010-08,256684,
2010-09,258410,
2010-10,260930,
2010-11,259304,
2010-12,255829,
2011-01,255215,
2011-02,257399,
2011-03,255438,
2011-04,253565,
2011-05,254632,
2011-06,254009,
2011-07,256252,
2011-08,257640,
2011-09,256133,
2011-10,258636,
2011-11,254609,
2011-12,264052,
2012-01,270937,
2012-02,276678,
2012-03,280012,
2012-04,281890,
2012-05,288645,
2012-06,289583,
2012-07,298128,
2012-08,304236,
2012-09,305767,
2012-10,309999,
2012-11,313728,
2012-12,317787,
2013-01,316074,
2013-02,317623,
2013-03,321859,
2013-04,327400,
2013-05,323600,
2013-06,315100,
2013-07,319285,
2013-08,316703,
2013-09,319859,
2013-10,324916,
2013-11,330522,
2013-12,330283,
2014-01,335653,
2014-02,340498,
2014-03,349225,
2014-04,347557,
2014-05,355097,
2014-06,358921,
2014-07,364132,
2014-08,373225,
2014-09,372990,
2014-10,376614,
2014-11,381047,
