"",BBK01.OEXB01U,BBK01.OEXB01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:21,
2002-01,5.140,
2002-04,5.298,
2002-07,5.352,
2002-10,5.788,
2003-01,5.893,
2003-04,5.993,
2003-07,6.115,
2003-10,6.187,
2004-01,6.261,
2004-04,6.223,
2004-07,6.292,
2004-10,6.269,
2005-01,6.254,
2005-04,6.197,
2005-07,6.378,
2005-10,6.357,
2006-01,6.384,
2006-04,6.451,
2006-07,6.537,
2006-10,6.676,
2007-01,6.631,
2007-04,6.692,
2007-07,6.577,
2007-10,6.697,
2008-01,6.392,
2008-04,6.299,
2008-07,6.220,
2008-10,6.203,
2009-01,6.111,
2009-04,6.092,
2009-07,6.206,
2009-10,6.224,
2010-01,6.208,
2010-04,6.248,
2010-07,6.270,
2010-10,6.354,
2011-01,6.388,
2011-04,6.473,
2011-07,6.532,
2011-10,6.504,
2012-01,6.508,
2012-04,6.557,
2012-07,6.568,
2012-10,6.568,
2013-01,6.797,
2013-04,6.850,
2013-07,6.868,
2013-10,6.948,
2014-01,6.935,
2014-04,7.020,
2014-07,6.824,
