"",BBK01.OEAD31R,BBK01.OEAD31R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:43,
2002-01,0.555,
2002-04,0.561,
2002-07,0.562,
2002-10,0.552,
2003-01,0.558,
2003-04,0.553,
2003-07,0.535,
2003-10,0.544,
2004-01,0.526,
2004-04,0.529,
2004-07,0.530,
2004-10,0.508,
2005-01,0.496,
2005-04,0.491,
2005-07,0.481,
2005-10,0.469,
2006-01,0.477,
2006-04,0.478,
2006-07,0.466,
2006-10,0.458,
2007-01,0.436,
2007-04,0.424,
2007-07,0.405,
2007-10,0.403,
2008-01,0.404,
2008-04,0.408,
2008-07,0.410,
2008-10,0.423,
2009-01,0.416,
2009-04,0.375,
2009-07,0.376,
2009-10,0.355,
2010-01,0.383,
2010-04,0.379,
2010-07,0.373,
2010-10,0.377,
2011-01,0.374,
2011-04,0.367,
2011-07,0.376,
2011-10,0.365,
2012-01,0.346,
2012-04,0.335,
2012-07,0.339,
2012-10,0.336,
2013-01,0.332,
2013-04,0.329,
2013-07,0.317,
2013-10,0.316,
2014-01,0.311,
2014-04,0.307,
2014-07,0.298,
