"",BBK01.OEAE26H,BBK01.OEAE26H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:13,
2002-01,2.896,
2002-04,3.109,
2002-07,3.078,
2002-10,3.011,
2003-01,2.979,
2003-04,2.968,
2003-07,2.853,
2003-10,3.583,
2004-01,3.579,
2004-04,3.661,
2004-07,3.508,
2004-10,3.443,
2005-01,3.440,
2005-04,3.482,
2005-07,3.502,
2005-10,3.455,
2006-01,3.412,
2006-04,3.400,
2006-07,3.394,
2006-10,3.240,
2007-01,2.997,
2007-04,2.918,
2007-07,2.827,
2007-10,2.775,
2008-01,2.618,
2008-04,2.370,
2008-07,1.475,
2008-10,1.731,
2009-01,1.629,
2009-04,1.434,
2009-07,1.339,
2009-10,1.293,
2010-01,1.144,
2010-04,1.129,
2010-07,0.691,
2010-10,0.660,
2011-01,0.647,
2011-04,0.719,
2011-07,0.809,
2011-10,0.851,
2012-01,0.750,
2012-04,0.770,
2012-07,0.782,
2012-10,0.718,
2013-01,0.699,
2013-04,0.673,
2013-07,0.677,
2013-10,0.701,
2014-01,0.721,
2014-04,0.746,
2014-07,0.775,
