"",BBK01.CEB0Q3,BBK01.CEB0Q3_FLAGS
"",Financial assets debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:59,
1991-01,2257.1,
1991-04,2293.9,
1991-07,2328.7,
1991-10,2416.6,
1992-01,2450.1,
1992-04,2483.6,
1992-07,2545.5,
1992-10,2617.7,
1993-01,2680.5,
1993-04,2737.3,
1993-07,2812.1,
1993-10,2977.8,
1994-01,2962.5,
1994-04,2960.8,
1994-07,2991.7,
1994-10,3097.6,
1995-01,3093.4,
1995-04,3167.5,
1995-07,3253.6,
1995-10,3394.2,
1996-01,3451.5,
1996-04,3510.7,
1996-07,3569.1,
1996-10,3715.2,
1997-01,3833.1,
1997-04,3925.1,
1997-07,4006.1,
1997-10,4095.8,
1998-01,4242.2,
1998-04,4376.9,
1998-07,4390.9,
1998-10,4563.2,
1999-01,4690.1,
1999-04,4749.7,
1999-07,4773.2,
1999-10,5034.0,
2000-01,5118.4,
2000-04,5193.5,
2000-07,5252.6,
2000-10,5248.7,
2001-01,5417.0,
2001-04,5409.3,
2001-07,5388.3,
2001-10,5444.0,
2002-01,5467.9,
2002-04,5433.9,
2002-07,5471.1,
2002-10,5468.6,
2003-01,5535.1,
2003-04,5597.8,
2003-07,5552.2,
2003-10,5524.6,
2004-01,5658.7,
2004-04,5623.5,
2004-07,5714.1,
2004-10,5776.6,
2005-01,5889.6,
2005-04,6046.6,
2005-07,6105.5,
2005-10,6094.4,
2006-01,6089.3,
2006-04,6099.1,
2006-07,6185.0,
2006-10,6242.3,
2007-01,6291.9,
2007-04,6367.9,
2007-07,6491.5,
2007-10,6532.0,
2008-01,6670.6,
2008-04,6668.7,
2008-07,6813.5,
2008-10,6838.8,
2009-01,6873.9,
2009-04,6783.8,
2009-07,6737.5,
2009-10,6710.6,
2010-01,6758.1,
2010-04,6978.2,
2010-07,6890.8,
2010-10,6726.6,
2011-01,6573.0,
2011-04,6597.0,
2011-07,6867.5,
2011-10,6854.3,
2012-01,7054.6,
2012-04,7197.7,
2012-07,7188.3,
2012-10,7042.6,
2013-01,6974.1,
2013-04,6873.1,
2013-07,6752.1,
2013-10,6653.3,
2014-01,6665.5,
