"",BBK01.OEXL02U,BBK01.OEXL02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:58,
2002-01,0.347,
2002-04,0.342,
2002-07,0.329,
2002-10,0.349,
2003-01,0.348,
2003-04,0.351,
2003-07,0.363,
2003-10,0.390,
2004-01,0.402,
2004-04,0.394,
2004-07,0.398,
2004-10,0.366,
2005-01,0.370,
2005-04,0.371,
2005-07,0.376,
2005-10,0.407,
2006-01,0.415,
2006-04,0.416,
2006-07,0.401,
2006-10,0.468,
2007-01,0.485,
2007-04,0.503,
2007-07,0.515,
2007-10,0.556,
2008-01,0.506,
2008-04,0.518,
2008-07,0.523,
2008-10,0.544,
2009-01,0.576,
2009-04,0.577,
2009-07,0.631,
2009-10,0.698,
2010-01,0.713,
2010-04,0.730,
2010-07,0.743,
2010-10,0.767,
2011-01,0.755,
2011-04,0.789,
2011-07,0.807,
2011-10,0.831,
2012-01,0.850,
2012-04,0.801,
2012-07,0.707,
2012-10,0.741,
2013-01,0.732,
2013-04,0.765,
2013-07,0.765,
2013-10,0.782,
2014-01,0.796,
2014-04,0.823,
2014-07,0.831,
