"",BBK01.OEAH60S,BBK01.OEAH60S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:27,
2002-01,0.678,
2002-04,0.647,
2002-07,0.667,
2002-10,0.638,
2003-01,0.584,
2003-04,0.558,
2003-07,0.545,
2003-10,0.530,
2004-01,0.513,
2004-04,0.481,
2004-07,0.466,
2004-10,0.462,
2005-01,0.484,
2005-04,0.458,
2005-07,0.459,
2005-10,0.446,
2006-01,0.458,
2006-04,0.462,
2006-07,0.480,
2006-10,0.490,
2007-01,0.524,
2007-04,0.543,
2007-07,0.595,
2007-10,0.686,
2008-01,0.736,
2008-04,0.778,
2008-07,0.818,
2008-10,0.910,
2009-01,0.810,
2009-04,0.713,
2009-07,0.567,
2009-10,0.457,
2010-01,0.422,
2010-04,0.398,
2010-07,0.359,
2010-10,0.342,
2011-01,0.358,
2011-04,0.368,
2011-07,0.368,
2011-10,0.420,
2012-01,0.441,
2012-04,0.422,
2012-07,0.402,
2012-10,0.361,
2013-01,0.344,
2013-04,0.335,
2013-07,0.323,
2013-10,0.303,
2014-01,0.311,
2014-04,0.325,
2014-07,0.310,
