"",BBK01.OEAK04S,BBK01.OEAK04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:27,
2002-01,0.249,
2002-04,0.238,
2002-07,0.217,
2002-10,0.192,
2003-01,0.179,
2003-04,0.156,
2003-07,0.156,
2003-10,0.148,
2004-01,0.149,
2004-04,0.141,
2004-07,0.137,
2004-10,0.145,
2005-01,0.140,
2005-04,0.140,
2005-07,0.141,
2005-10,0.135,
2006-01,0.154,
2006-04,0.144,
2006-07,0.140,
2006-10,0.152,
2007-01,0.152,
2007-04,0.159,
2007-07,0.173,
2007-10,0.191,
2008-01,0.213,
2008-04,0.226,
2008-07,0.296,
2008-10,0.301,
2009-01,0.219,
2009-04,0.183,
2009-07,0.141,
2009-10,0.126,
2010-01,0.121,
2010-04,0.113,
2010-07,0.095,
2010-10,0.090,
2011-01,0.099,
2011-04,0.092,
2011-07,0.101,
2011-10,0.104,
2012-01,0.110,
2012-04,0.107,
2012-07,0.102,
2012-10,0.094,
2013-01,0.090,
2013-04,0.089,
2013-07,0.089,
2013-10,0.084,
2014-01,0.085,
2014-04,0.081,
2014-07,0.081,
