"",BBK01.OEAC08O,BBK01.OEAC08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:22,
2002-01,1.829,
2002-04,1.705,
2002-07,2.009,
2002-10,2.200,
2003-01,2.274,
2003-04,2.686,
2003-07,2.819,
2003-10,3.395,
2004-01,3.528,
2004-04,3.305,
2004-07,3.210,
2004-10,3.399,
2005-01,3.598,
2005-04,4.006,
2005-07,4.264,
2005-10,4.354,
2006-01,4.389,
2006-04,4.370,
2006-07,4.428,
2006-10,4.784,
2007-01,4.236,
2007-04,4.415,
2007-07,5.406,
2007-10,4.496,
2008-01,4.308,
2008-04,4.472,
2008-07,4.194,
2008-10,3.739,
2009-01,3.739,
2009-04,4.550,
2009-07,4.830,
2009-10,5.184,
2010-01,5.434,
2010-04,5.103,
2010-07,4.759,
2010-10,4.565,
2011-01,4.578,
2011-04,4.795,
2011-07,4.877,
2011-10,4.816,
2012-01,4.888,
2012-04,4.743,
2012-07,4.582,
2012-10,4.288,
2013-01,4.232,
2013-04,4.246,
2013-07,5.096,
2013-10,5.371,
2014-01,5.857,
2014-04,5.820,
2014-07,5.529,
