"",BBK01.OELJ01T,BBK01.OELJ01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:20,
2002-01,0.510,
2002-04,0.496,
2002-07,0.533,
2002-10,0.534,
2003-01,0.499,
2003-04,0.481,
2003-07,0.477,
2003-10,0.571,
2004-01,0.501,
2004-04,0.401,
2004-07,0.534,
2004-10,0.633,
2005-01,0.594,
2005-04,0.582,
2005-07,0.555,
2005-10,0.704,
2006-01,0.596,
2006-04,0.569,
2006-07,0.599,
2006-10,0.719,
2007-01,0.633,
2007-04,0.648,
2007-07,0.658,
2007-10,0.751,
2008-01,0.659,
2008-04,0.643,
2008-07,0.833,
2008-10,0.926,
2009-01,0.939,
2009-04,0.813,
2009-07,0.879,
2009-10,0.974,
2010-01,0.915,
2010-04,0.899,
2010-07,0.971,
2010-10,1.039,
2011-01,0.987,
2011-04,0.926,
2011-07,0.969,
2011-10,1.075,
2012-01,0.911,
2012-04,0.888,
2012-07,0.942,
2012-10,1.095,
2013-01,1.132,
2013-04,1.114,
2013-07,1.219,
2013-10,1.325,
2014-01,1.194,
2014-04,1.110,
2014-07,1.133,
