"",BBEX3.M.UGX.EUR.CA.AA.A01,BBEX3.M.UGX.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Uganda / EUR 1 = UGX ... (buying),
unit,UGX (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:46,
1999-01,1563.04,
1999-02,1513.64,
1999-03,1487.61,
1999-04,1601.13,
1999-05,1465.03,
1999-06,1489.29,
1999-07,1550.57,
1999-08,1539.53,
1999-09,1600.94,
1999-10,1580.70,
1999-11,1506.13,
1999-12,1504.76,
2000-01,1505.45,
2000-02,1452.45,
2000-03,1445.50,
2000-04,1393.38,
2000-05,1381.78,
2000-06,1486.53,
2000-07,1490.02,
2000-08,1532.69,
2000-09,1586.65,
2000-10,1543.16,
2000-11,1589.78,
2000-12,1628.70,
2001-01,1655.65,
2001-02,1590.66,
2001-03,1562.75,
2001-04,1582.29,
2001-05,1503.26,
2001-06,1448.37,
2001-07,1509.13,
2001-08,1591.33,
2001-09,1595.27,
2001-10,1571.59,
2001-11,1527.04,
2001-12,1522.38,
2002-01,1490.72,
2002-02,1515.16,
2002-03,1548.14,
2002-04,1617.49,
2002-05,1677.54,
2002-06,1766.98,
2002-07,1780.64,
2002-08,1775.79,
2002-09,1772.74,
2002-10,1801.69,
2002-11,1830.80,
2002-12,1932.84,
2003-01,2011.67,
2003-02,2048.44,
2003-03,2108.10,
2003-04,2180.99,
2003-05,2346.25,
2003-06,2281.82,
2003-07,2268.42,
2003-08,2177.69,
2003-09,2284.14,
2003-10,2314.24,
2003-11,2324.04,
2003-12,2416.89,
2004-01,2353.18,
2004-02,2355.79,
2004-03,2337.12,
2004-04,2276.07,
2004-05,2233.12,
2004-06,2159.84,
2004-07,2113.49,
2004-08,2057.92,
2004-09,2151.15,
2004-10,2192.32,
2004-11,2310.51,
2004-12,2360.57,
2005-01,2220.60,
2005-02,2233.81,
2005-03,2249.86,
2005-04,2286.96,
2005-05,2200.73,
2005-06,2095.23,
2005-07,2139.74,
2005-08,2210.17,
2005-09,2230.58,
2005-10,2209.94,
2005-11,2143.82,
2005-12,2146.03,
2006-01,2193.21,
2006-02,2156.01,
2006-03,2206.20,
2006-04,2263.13,
2006-05,2378.57,
2006-06,2323.43,
2006-07,2363.12,
2006-08,2373.81,
2006-09,2357.85,
2006-10,2310.11,
2006-11,2373.91,
2006-12,2279.34,
2007-01,2284.86,
2007-02,2298.62,
2007-03,2311.29,
2007-04,2346.32,
2007-05,2263.77,
2007-06,2146.28,
2007-07,2265.53,
2007-08,2423.02,
2007-09,2462.15,
2007-10,2496.46,
2007-11,2543.99,
2007-12,2483.31,
2008-01,2546.18,
2008-02,2560.21,
2008-03,2655.55,
2008-04,2615.51,
2008-05,2521.02,
2008-06,2551.44,
2008-07,2544.63,
2008-08,2416.53,
2008-09,2430.82,
2008-10,2393.25,
2008-11,2531.48,
2008-12,2751.70,
2009-01,2588.07,
2009-02,2509.10,
2009-03,2820.61,
2009-04,2932.32,
2009-05,3104.51,
2009-06,2899.56,
2009-07,2943.36,
2009-08,2946.73,
2009-09,2812.90,
2009-10,2781.78,
2009-11,2798.48,
2009-12,2715.19,
2010-01,2712.82,
2010-02,2740.12,
2010-03,2790.31,
2010-04,2764.33,
2010-05,2741.87,
2010-06,2771.94,
2010-07,2919.84,
2010-08,2872.24,
2010-09,3046.17,
2010-10,3144.24,
2010-11,3078.44,
2010-12,3074.55,
2011-01,3116.17,
2011-02,3226.49,
2011-03,3380.38,
2011-04,3521.97,
2011-05,3404.14,
2011-06,3773.51,
2011-07,3707.05,
2011-08,4044.03,
2011-09,3888.08,
2011-10,3692.71,
2011-11,3413.92,
2011-12,3213.63,
2012-01,3060.88,
2012-02,3168.70,
2012-03,3339.19,
2012-04,3317.64,
2012-05,3102.91,
2012-06,3067.07,
2012-07,3028.19,
2012-08,3117.19,
2012-09,3255.23,
2012-10,3353.59,
2012-11,3482.81,
2012-12,3544.79,
2013-01,3609.76,
2013-02,3462.59,
2013-03,3310.32,
2013-04,3396.19,
2013-05,3380.66,
2013-06,3365.48,
2013-07,3420.26,
2013-08,3420.20,
2013-09,3461.70,
2013-10,3476.24,
2013-11,3426.68,
2013-12,3484.74,
2014-01,3350.48,
2014-02,3465.90,
2014-03,3499.35,
2014-04,3483.65,
2014-05,3475.46,
2014-06,3539.25,
2014-07,3505.42,
2014-08,3441.31,
2014-09,3357.20,
2014-10,3410.67,
2014-11,3463.43,
2014-12,3367.62,
2015-01,3244.35,
"","Source: Bank of Uganda, Kampala",
