"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F5._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F5._Z._T._X.N_FLAGS
"",IIP - Direct investment - Equity and investment fund shares/units - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:52,
1999-10,221760,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,206608,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,361962,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,314300,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,292827,
2004-01,285649,
2004-04,296305,
2004-07,291559,
2004-10,283565,
2005-01,305981,
2005-04,329739,
2005-07,341184,
2005-10,358566,
2006-01,363724,
2006-04,362905,
2006-07,396960,
2006-10,397446,
2007-01,418612,
2007-04,436431,
2007-07,429943,
2007-10,448487,
2008-01,440412,
2008-04,454433,
2008-07,475693,
2008-10,436997,
2009-01,448693,
2009-04,469517,
2009-07,480760,
2009-10,484928,
2010-01,523640,
2010-04,562516,
2010-07,535762,
2010-10,550659,
2011-01,549169,
2011-04,562173,
2011-07,575837,
2011-10,591856,
2012-01,608541,
2012-04,628104,
2012-07,643913,
2012-10,642039,
2013-01,657916,
2013-04,655944,
2013-07,661806,
2013-10,658313,
2014-01,675305,
2014-04,703187,
2014-07,735172,
