"",BBK01.OEAH16J,BBK01.OEAH16J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:01,
2002-01,4.355,
2002-04,4.634,
2002-07,4.540,
2002-10,4.880,
2003-01,4.739,
2003-04,4.917,
2003-07,4.796,
2003-10,5.055,
2004-01,5.152,
2004-04,5.356,
2004-07,5.530,
2004-10,5.537,
2005-01,5.678,
2005-04,5.881,
2005-07,5.963,
2005-10,6.069,
2006-01,6.166,
2006-04,6.388,
2006-07,6.069,
2006-10,6.456,
2007-01,6.481,
2007-04,6.695,
2007-07,7.171,
2007-10,7.129,
2008-01,6.864,
2008-04,7.088,
2008-07,7.369,
2008-10,7.871,
2009-01,8.104,
2009-04,8.321,
2009-07,8.309,
2009-10,8.961,
2010-01,8.717,
2010-04,9.080,
2010-07,8.426,
2010-10,8.775,
2011-01,8.836,
2011-04,9.041,
2011-07,9.003,
2011-10,9.164,
2012-01,9.178,
2012-04,9.817,
2012-07,10.370,
2012-10,10.993,
2013-01,11.029,
2013-04,11.038,
2013-07,11.323,
2013-10,11.690,
2014-01,11.281,
2014-04,11.357,
2014-07,11.712,
