"",BBFN1.M.DE.N.1.A.E1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.E1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:34,
1995-01,110.081,
1995-02,108.527,
1995-03,109.071,
1995-04,111.944,
1995-05,113.049,
1995-06,111.405,
1995-07,111.782,
1995-08,107.855,
1995-09,108.767,
1995-10,110.805,
1995-11,109.091,
1995-12,98.865,
1996-01,105.227,
1996-02,106.607,
1996-03,111.521,
1996-04,116.587,
1996-05,118.191,
1996-06,112.702,
1996-07,109.621,
1996-08,107.510,
1996-09,107.301,
1996-10,109.745,
1996-11,113.451,
1996-12,110.377,
1997-01,119.361,
1997-02,123.866,
1997-03,122.966,
1997-04,126.842,
1997-05,126.637,
1997-06,121.791,
1997-07,125.917,
1997-08,119.965,
1997-09,118.767,
1997-10,123.362,
1997-11,117.992,
1997-12,109.043,
1998-01,124.575,
1998-02,128.624,
1998-03,133.113,
1998-04,143.433,
1998-05,145.774,
1998-06,136.624,
1998-07,137.344,
1998-08,132.382,
1998-09,134.859,
1998-10,139.602,
1998-11,134.494,
1998-12,120.842,
1999-01,115.598,
1999-02,119.879,
1999-03,124.123,
1999-04,128.287,
1999-05,129.788,
1999-06,132.373,
1999-07,132.438,
1999-08,132.206,
1999-09,132.416,
1999-10,128.239,
1999-11,129.023,
1999-12,117.224,
2000-01,125.912,
2000-02,131.142,
2000-03,140.474,
2000-04,140.578,
2000-05,140.546,
2000-06,142.203,
2000-07,137.921,
2000-08,154.541,
2000-09,142.681,
2000-10,149.806,
2000-11,141.160,
2000-12,130.651,
2001-01,152.584,
2001-02,163.599,
2001-03,166.362,
2001-04,169.150,
2001-05,158.489,
2001-06,160.109,
2001-07,160.893,
2001-08,157.422,
2001-09,148.651,
2001-10,151.394,
2001-11,150.254,
2001-12,152.816,
2002-01,166.701,
2002-02,167.355,
2002-03,167.687,
2002-04,178.272,
2002-05,182.067,
2002-06,168.923,
2002-07,170.519,
2002-08,171.754,
2002-09,175.395,
2002-10,178.177,
2002-11,169.876,
2002-12,159.502,
2003-01,178.507,
2003-02,184.154,
2003-03,193.265,
2003-04,205.430,
2003-05,208.550,
2003-06,202.942,
2003-07,211.193,
2003-08,200.812,
2003-09,201.600,
2003-10,204.566,
2003-11,200.127,
2003-12,192.140,
2004-01,211.848,
2004-02,211.507,
2004-03,216.738,
2004-04,214.115,
2004-05,209.403,
2004-06,212.237,
2004-07,216.514,
2004-08,216.907,
2004-09,219.966,
2004-10,220.093,
2004-11,212.650,
2004-12,207.123,
2005-01,214.110,
2005-02,217.387,
2005-03,226.305,
2005-04,222.636,
2005-05,219.692,
2005-06,215.626,
2005-07,219.744,
2005-08,221.256,
2005-09,228.685,
2005-10,231.595,
2005-11,227.312,
2005-12,216.560,
2006-01,223.090,
2006-02,235.044,
2006-03,238.565,
2006-04,245.629,
2006-05,242.662,
2006-06,240.255,
2006-07,236.956,
2006-08,245.632,
2006-09,252.909,
2006-10,256.083,
2006-11,256.778,
2006-12,248.674,
2007-01,263.019,
2007-02,272.130,
2007-03,281.213,
2007-04,282.875,
2007-05,284.885,
2007-06,289.145,
2007-07,294.170,
2007-08,297.895,
2007-09,300.032,
2007-10,318.108,
2007-11,318.006,
2007-12,300.902,
2008-01,324.560,
2008-02,326.074,
2008-03,335.279,
2008-04,339.077,
2008-05,337.220,
2008-06,332.389,
2008-07,340.526,
2008-08,337.969,
2008-09,348.315,
2008-10,347.530,
2008-11,346.790,
2008-12,340.603,
2009-01,344.538,
2009-02,344.354,
2009-03,366.703,
2009-04,370.218,
2009-05,367.630,
2009-06,368.044,
2009-07,366.606,
2009-08,371.320,
2009-09,375.795,
2009-10,387.032,
2009-11,388.826,
2009-12,394.633,
2010-01,392.157,
2010-02,403.029,
2010-03,409.301,
2010-04,423.222,
2010-05,424.882,
2010-06,426.669,
2010-07,438.521,
2010-08,448.366,
2010-09,450.642,
2010-10,459.966,
2010-11,465.485,
2010-12,449.218,
2011-01,472.836,
2011-02,465.988,
2011-03,467.694,
2011-04,467.296,
2011-05,487.720,
2011-06,476.976,
2011-07,491.784,
2011-08,510.136,
2011-09,512.831,
2011-10,507.062,
2011-11,498.368,
2011-12,460.786,
2012-01,490.559,
2012-02,490.376,
2012-03,497.346,
2012-04,491.388,
2012-05,504.248,
2012-06,515.603,
2012-07,515.304,
2012-08,505.491,
2012-09,518.165,
2012-10,507.095,
2012-11,515.910,
2012-12,500.247,
2013-01,524.458,
2013-02,528.662,
2013-03,537.401,
2013-04,540.259,
2013-05,541.483,
2013-06,552.110,
2013-07,535.300,
2013-08,524.140,
2013-09,532.090,
2013-10,534.161,
2013-11,537.122,
2013-12,530.555,
2014-01,536.714,
2014-02,541.123,
2014-03,563.309,
2014-04,561.142,
2014-05,580.432,
2014-06,570.683,
2014-07,564.813,
2014-08,576.944,
2014-09,579.194,
2014-10,569.585,
2014-11,567.843,
2014-12,546.232,
