"",BBK01.OECB16M,BBK01.OECB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:41,
2002-01,1.942,
2002-04,1.927,
2002-07,1.921,
2002-10,1.877,
2003-01,1.824,
2003-04,1.797,
2003-07,1.765,
2003-10,1.717,
2004-01,1.689,
2004-04,1.668,
2004-07,1.648,
2004-10,1.835,
2005-01,1.902,
2005-04,1.905,
2005-07,1.887,
2005-10,1.855,
2006-01,1.811,
2006-04,1.796,
2006-07,1.763,
2006-10,1.734,
2007-01,1.940,
2007-04,1.756,
2007-07,1.718,
2007-10,1.701,
2008-01,1.670,
2008-04,1.653,
2008-07,1.599,
2008-10,1.551,
2009-01,1.533,
2009-04,1.840,
2009-07,1.789,
2009-10,1.698,
2010-01,1.668,
2010-04,1.619,
2010-07,1.708,
2010-10,1.638,
2011-01,1.503,
2011-04,1.477,
2011-07,1.446,
2011-10,1.412,
2012-01,1.347,
2012-04,1.304,
2012-07,1.280,
2012-10,1.272,
2013-01,1.249,
2013-04,1.287,
2013-07,1.252,
2013-10,1.233,
2014-01,1.221,
2014-04,1.202,
2014-07,1.187,
