"",BBK01.OEAF32G,BBK01.OEAF32G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:51,
2002-01,153.986,
2002-04,154.749,
2002-07,155.914,
2002-10,157.102,
2003-01,157.236,
2003-04,157.933,
2003-07,159.230,
2003-10,160.503,
2004-01,160.253,
2004-04,160.490,
2004-07,161.347,
2004-10,161.829,
2005-01,163.079,
2005-04,163.420,
2005-07,164.227,
2005-10,164.956,
2006-01,163.458,
2006-04,163.931,
2006-07,164.530,
2006-10,164.725,
2007-01,163.961,
2007-04,164.351,
2007-07,164.746,
2007-10,165.132,
2008-01,164.627,
2008-04,165.585,
2008-07,166.679,
2008-10,167.203,
2009-01,166.633,
2009-04,169.035,
2009-07,170.354,
2009-10,171.017,
2010-01,171.155,
2010-04,172.064,
2010-07,173.325,
2010-10,173.531,
2011-01,174.763,
2011-04,175.859,
2011-07,177.239,
2011-10,178.315,
2012-01,178.418,
2012-04,179.620,
2012-07,181.026,
2012-10,182.129,
2013-01,182.260,
2013-04,183.119,
2013-07,184.765,
2013-10,186.209,
2014-01,186.553,
2014-04,188.096,
2014-07,190.097,
