"",BBK01.OEAC54T,BBK01.OEAC54T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:30,
2002-01,4.853,
2002-04,4.872,
2002-07,4.894,
2002-10,4.908,
2003-01,5.494,
2003-04,5.523,
2003-07,5.545,
2003-10,5.637,
2004-01,5.665,
2004-04,5.685,
2004-07,5.686,
2004-10,5.709,
2005-01,5.689,
2005-04,5.660,
2005-07,5.702,
2005-10,5.723,
2006-01,5.664,
2006-04,5.667,
2006-07,5.712,
2006-10,5.839,
2007-01,5.824,
2007-04,5.882,
2007-07,6.009,
2007-10,6.046,
2008-01,6.130,
2008-04,6.228,
2008-07,6.305,
2008-10,6.583,
2009-01,6.496,
2009-04,6.793,
2009-07,6.859,
2009-10,6.963,
2010-01,6.956,
2010-04,6.955,
2010-07,7.104,
2010-10,7.097,
2011-01,7.176,
2011-04,7.272,
2011-07,7.365,
2011-10,7.409,
2012-01,7.631,
2012-04,7.742,
2012-07,7.872,
2012-10,8.058,
2013-01,8.142,
2013-04,8.240,
2013-07,8.243,
2013-10,8.397,
2014-01,8.563,
2014-04,8.683,
2014-07,8.665,
