"",BBK01.OEAH66M,BBK01.OEAH66M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:00,
2002-01,4.528,
2002-04,4.548,
2002-07,4.526,
2002-10,4.430,
2003-01,4.331,
2003-04,4.344,
2003-07,4.327,
2003-10,4.328,
2004-01,4.352,
2004-04,4.411,
2004-07,4.477,
2004-10,4.609,
2005-01,4.541,
2005-04,4.698,
2005-07,4.620,
2005-10,4.558,
2006-01,4.472,
2006-04,4.469,
2006-07,4.400,
2006-10,4.340,
2007-01,4.155,
2007-04,3.923,
2007-07,3.860,
2007-10,3.779,
2008-01,3.699,
2008-04,3.633,
2008-07,3.505,
2008-10,3.653,
2009-01,4.044,
2009-04,4.359,
2009-07,4.622,
2009-10,5.353,
2010-01,5.707,
2010-04,5.854,
2010-07,5.841,
2010-10,5.943,
2011-01,5.932,
2011-04,6.200,
2011-07,6.272,
2011-10,6.362,
2012-01,6.174,
2012-04,6.140,
2012-07,5.979,
2012-10,5.405,
2013-01,4.805,
2013-04,4.391,
2013-07,4.203,
2013-10,3.994,
2014-01,3.702,
2014-04,3.153,
2014-07,2.870,
