"",BBK01.OEAA53I,BBK01.OEAA53I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:27,
2002-01,6.111,
2002-04,7.078,
2002-07,5.871,
2002-10,5.419,
2003-01,5.239,
2003-04,3.769,
2003-07,3.633,
2003-10,3.327,
2004-01,3.384,
2004-04,3.136,
2004-07,3.174,
2004-10,3.069,
2005-01,3.093,
2005-04,3.175,
2005-07,3.004,
2005-10,3.025,
2006-01,3.026,
2006-04,3.329,
2006-07,4.369,
2006-10,4.307,
2007-01,4.369,
2007-04,4.503,
2007-07,4.712,
2007-10,5.401,
2008-01,6.145,
2008-04,7.163,
2008-07,7.872,
2008-10,8.011,
2009-01,8.318,
2009-04,8.632,
2009-07,8.967,
2009-10,9.546,
2010-01,9.663,
2010-04,10.559,
2010-07,10.336,
2010-10,11.326,
2011-01,11.899,
2011-04,12.069,
2011-07,12.771,
2011-10,15.480,
2012-01,15.313,
2012-04,13.357,
2012-07,13.006,
2012-10,12.405,
2013-01,12.093,
2013-04,11.934,
2013-07,12.119,
2013-10,12.171,
2014-01,11.834,
2014-04,12.057,
2014-07,11.815,
