"",BBK01.OEAE30Q,BBK01.OEAE30Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:29,
2002-01,0.557,
2002-04,0.589,
2002-07,0.640,
2002-10,0.747,
2003-01,0.760,
2003-04,0.756,
2003-07,0.809,
2003-10,0.858,
2004-01,0.812,
2004-04,0.529,
2004-07,0.755,
2004-10,0.865,
2005-01,0.793,
2005-04,0.783,
2005-07,0.712,
2005-10,0.736,
2006-01,1.071,
2006-04,0.929,
2006-07,0.889,
2006-10,0.982,
2007-01,1.158,
2007-04,1.257,
2007-07,1.336,
2007-10,1.386,
2008-01,1.041,
2008-04,0.576,
2008-07,0.554,
2008-10,0.530,
2009-01,0.405,
2009-04,0.406,
2009-07,0.403,
2009-10,0.440,
2010-01,0.476,
2010-04,0.525,
2010-07,0.363,
2010-10,0.440,
2011-01,0.355,
2011-04,0.356,
2011-07,0.235,
2011-10,0.238,
2012-01,0.218,
2012-04,0.296,
2012-07,0.454,
2012-10,0.484,
2013-01,0.484,
2013-04,0.420,
2013-07,0.436,
2013-10,0.513,
2014-01,0.488,
2014-04,0.480,
2014-07,0.474,
