"",BBK01.CEL0C0,BBK01.CEL0C0_FLAGS
"",External financing total                                       debtor: General government                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:37,
1999-01,12.1,
1999-04,3.1,
1999-07,10.1,
1999-10,14.0,
2000-01,27.0,
2000-04,-0.4,
2000-07,10.9,
2000-10,-13.6,
2001-01,-9.8,
2001-04,-4.4,
2001-07,16.1,
2001-10,13.7,
2002-01,26.3,
2002-04,2.4,
2002-07,19.9,
2002-10,9.3,
2003-01,36.7,
2003-04,14.7,
2003-07,20.7,
2003-10,19.5,
2004-01,45.1,
2004-04,8.2,
2004-07,17.4,
2004-10,-0.4,
2005-01,26.7,
2005-04,13.6,
2005-07,19.8,
2005-10,7.5,
2006-01,20.2,
2006-04,12.5,
2006-07,17.3,
2006-10,-1.1,
2007-01,5.6,
2007-04,19.5,
2007-07,-20.3,
2007-10,6.0,
2008-01,20.5,
2008-04,36.2,
2008-07,-4.0,
2008-10,18.6,
2009-01,28.7,
2009-04,65.3,
2009-07,4.5,
2009-10,11.0,
2010-01,20.9,
2010-04,40.8,
2010-07,24.5,
2010-10,201.4,
2011-01,5.1,
2011-04,11.9,
2011-07,15.3,
2011-10,-3.9,
2012-01,24.2,
2012-04,47.3,
2012-07,12.3,
2012-10,-14.0,
2013-01,-5.8,
2013-04,-2.3,
2013-07,-20.2,
2013-10,18.5,
2014-01,-13.6,
2014-04,7.2,
2014-07,0.6,
