"",BBK01.OEAH20N,BBK01.OEAH20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:19,
2002-01,2.537,
2002-04,2.465,
2002-07,2.395,
2002-10,2.254,
2003-01,2.285,
2003-04,2.271,
2003-07,2.177,
2003-10,2.114,
2004-01,1.969,
2004-04,1.967,
2004-07,1.914,
2004-10,1.158,
2005-01,1.383,
2005-04,1.320,
2005-07,1.312,
2005-10,1.543,
2006-01,1.722,
2006-04,1.865,
2006-07,2.043,
2006-10,2.128,
2007-01,2.527,
2007-04,2.998,
2007-07,3.243,
2007-10,4.394,
2008-01,4.634,
2008-04,4.918,
2008-07,6.164,
2008-10,6.392,
2009-01,7.228,
2009-04,7.413,
2009-07,6.892,
2009-10,6.737,
2010-01,6.331,
2010-04,5.621,
2010-07,5.142,
2010-10,5.026,
2011-01,4.976,
2011-04,5.254,
2011-07,5.982,
2011-10,6.938,
2012-01,7.937,
2012-04,8.036,
2012-07,7.948,
2012-10,7.271,
2013-01,7.603,
2013-04,7.899,
2013-07,7.028,
2013-10,7.632,
2014-01,7.054,
2014-04,6.956,
2014-07,6.734,
