"",BBK01.OEXM01M,BBK01.OEXM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:31,
2002-01,0.347,
2002-04,0.371,
2002-07,0.313,
2002-10,0.339,
2003-01,0.238,
2003-04,0.243,
2003-07,0.240,
2003-10,0.273,
2004-01,0.259,
2004-04,0.262,
2004-07,0.194,
2004-10,0.256,
2005-01,0.245,
2005-04,0.336,
2005-07,0.240,
2005-10,0.288,
2006-01,0.274,
2006-04,0.280,
2006-07,0.388,
2006-10,0.447,
2007-01,0.314,
2007-04,0.454,
2007-07,0.528,
2007-10,0.499,
2008-01,0.423,
2008-04,0.480,
2008-07,0.273,
2008-10,0.405,
2009-01,0.433,
2009-04,0.819,
2009-07,0.904,
2009-10,0.694,
2010-01,0.789,
2010-04,0.751,
2010-07,0.726,
2010-10,0.980,
2011-01,0.794,
2011-04,0.580,
2011-07,0.768,
2011-10,1.052,
2012-01,1.174,
2012-04,1.153,
2012-07,1.202,
2012-10,1.237,
2013-01,1.814,
2013-04,1.844,
2013-07,2.090,
2013-10,1.672,
2014-01,1.552,
2014-04,1.888,
2014-07,2.511,
