"",BBK01.OECM03V,BBK01.OECM03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:40,
2002-01,0.401,
2002-04,0.373,
2002-07,0.365,
2002-10,0.378,
2003-01,0.310,
2003-04,0.388,
2003-07,0.334,
2003-10,0.345,
2004-01,0.290,
2004-04,0.226,
2004-07,0.248,
2004-10,0.286,
2005-01,0.299,
2005-04,0.300,
2005-07,0.268,
2005-10,0.294,
2006-01,0.267,
2006-04,0.219,
2006-07,0.228,
2006-10,0.222,
2007-01,0.240,
2007-04,0.254,
2007-07,0.237,
2007-10,0.311,
2008-01,0.311,
2008-04,0.388,
2008-07,0.487,
2008-10,0.430,
2009-01,0.381,
2009-04,0.477,
2009-07,0.458,
2009-10,0.394,
2010-01,0.315,
2010-04,0.257,
2010-07,0.218,
2010-10,0.305,
2011-01,0.192,
2011-04,0.216,
2011-07,0.367,
2011-10,0.575,
2012-01,0.834,
2012-04,0.881,
2012-07,0.621,
2012-10,0.475,
2013-01,0.560,
2013-04,0.845,
2013-07,0.846,
2013-10,0.811,
2014-01,0.578,
2014-04,0.640,
2014-07,0.598,
