"",BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.FR.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:23,
1991-01,235.870,
1991-04,229.926,
1991-07,310.788,
1991-10,691.117,
1992-01,38.450,
1992-04,131.380,
1992-07,2367.193,
1992-10,1772.335,
1993-01,967.320,
1993-04,2442.392,
1993-07,891.320,
1993-10,1335.616,
1994-01,-2766.213,
1994-04,-551.817,
1994-07,1221.122,
1994-10,1927.424,
1995-01,1297.004,
1995-04,2904.643,
1995-07,1238.623,
1995-10,1675.894,
1996-01,780.629,
1996-04,724.782,
1996-07,469.786,
1996-10,4694.667,
1997-01,4840.856,
1997-04,4989.438,
1997-07,5874.171,
1997-10,8723.178,
1998-01,6350.807,
1998-04,12668.465,
1998-07,6386.482,
1998-10,4772.800,
1999-01,5349.675,
1999-04,13836.075,
1999-07,8780.902,
1999-10,6188.415,
2000-01,-65.241,
2000-04,10360.552,
2000-07,5323.353,
2000-10,3798.824,
2001-01,5479.782,
2001-04,11781.898,
2001-07,3725.905,
2001-10,4225.947,
2002-01,1825.212,
2002-04,5059.359,
2002-07,6735.488,
2002-10,1232.561,
2003-01,15413.612,
2003-04,23335.905,
2003-07,12592.048,
2003-10,12865.336,
2004-01,11575.266,
2004-04,15895.078,
2004-07,20390.009,
2004-10,18241.944,
2005-01,11893.175,
2005-04,14532.405,
2005-07,10002.826,
2005-10,14310.088,
2006-01,14221.989,
2006-04,3434.475,
2006-07,22253.646,
2006-10,14661.245,
2007-01,9436.441,
2007-04,23313.728,
2007-07,58869.641,
2007-10,57603.959,
2008-01,31837.535,
2008-04,13681.716,
2008-07,28702.438,
2008-10,15141.321,
2009-01,-3566.085,
2009-04,5486.743,
2009-07,31848.241,
2009-10,13512.913,
2010-01,20943.328,
2010-04,28826.065,
2010-07,31723.236,
2010-10,23130.068,
2011-01,24708.614,
2011-04,24928.862,
2011-07,18623.267,
2011-10,-8381.237,
2012-01,18556.825,
2012-04,21186.885,
2012-07,23505.797,
2012-10,18495.137,
2013-01,10168.840,
2013-04,19334.514,
2013-07,18851.073,
2013-10,22334.420,
2014-01,15501.830,Provisional value
2014-04,33195.197,Provisional value
2014-07,21965.184,Provisional value
2014-10,21054.051,Provisional value
