"",BBK01.OEHJ08P,BBK01.OEHJ08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:00,
2002-01,0.047,
2002-04,0.045,
2002-07,0.044,
2002-10,0.049,
2003-01,0.054,
2003-04,0.056,
2003-07,0.054,
2003-10,0.065,
2004-01,0.063,
2004-04,0.053,
2004-07,0.055,
2004-10,0.055,
2005-01,0.055,
2005-04,0.053,
2005-07,0.052,
2005-10,0.059,
2006-01,0.053,
2006-04,0.052,
2006-07,0.051,
2006-10,0.051,
2007-01,0.055,
2007-04,0.048,
2007-07,0.048,
2007-10,0.047,
2008-01,0.044,
2008-04,0.048,
2008-07,0.049,
2008-10,0.056,
2009-01,0.054,
2009-04,0.042,
2009-07,0.059,
2009-10,0.031,
2010-01,0.035,
2010-04,0.037,
2010-07,0.035,
2010-10,0.040,
2011-01,0.047,
2011-04,0.036,
2011-07,0.035,
2011-10,0.035,
2012-01,0.034,
2012-04,0.037,
2012-07,0.048,
2012-10,0.054,
2013-01,0.062,
2013-04,0.067,
2013-07,0.064,
2013-10,0.067,
2014-01,0.064,
2014-04,0.071,
2014-07,0.067,
