"",BBK01.OECB06Q,BBK01.OECB06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:26,
2002-01,1.345,
2002-04,1.341,
2002-07,1.352,
2002-10,1.237,
2003-01,1.052,
2003-04,1.081,
2003-07,1.095,
2003-10,0.978,
2004-01,0.861,
2004-04,0.812,
2004-07,0.834,
2004-10,1.460,
2005-01,1.455,
2005-04,1.408,
2005-07,1.416,
2005-10,1.240,
2006-01,1.211,
2006-04,1.158,
2006-07,1.155,
2006-10,1.155,
2007-01,1.085,
2007-04,1.116,
2007-07,1.109,
2007-10,1.097,
2008-01,1.075,
2008-04,1.097,
2008-07,1.111,
2008-10,1.015,
2009-01,1.037,
2009-04,0.910,
2009-07,0.881,
2009-10,0.769,
2010-01,0.830,
2010-04,0.843,
2010-07,0.892,
2010-10,0.839,
2011-01,0.869,
2011-04,0.897,
2011-07,0.956,
2011-10,0.815,
2012-01,0.890,
2012-04,0.881,
2012-07,0.888,
2012-10,0.800,
2013-01,0.973,
2013-04,0.942,
2013-07,1.027,
2013-10,0.846,
2014-01,0.902,
2014-04,0.987,
2014-07,1.012,
