"",BBK01.WT4015,BBK01.WT4015_FLAGS
"","DE0001137297 / Prices / 1,000 BSA 10",
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 12:36:03,
2010-02-17,99.850,
2010-02-18,99.880,
2010-02-19,99.810,
2010-02-20,.,No value available
2010-02-21,.,No value available
2010-02-22,99.850,
2010-02-23,99.910,
2010-02-24,99.990,
2010-02-25,100.120,
2010-02-26,100.115,
2010-02-27,.,No value available
2010-02-28,.,No value available
2010-03-01,100.070,
2010-03-02,100.110,
2010-03-03,100.110,
2010-03-04,100.040,
2010-03-05,100.060,
2010-03-06,.,No value available
2010-03-07,.,No value available
2010-03-08,100.020,
2010-03-09,100.040,
2010-03-10,100.005,
2010-03-11,99.945,
2010-03-12,99.920,
2010-03-13,.,No value available
2010-03-14,.,No value available
2010-03-15,99.935,
2010-03-16,99.950,
2010-03-17,100.040,
2010-03-18,100.070,
2010-03-19,100.020,
2010-03-20,.,No value available
2010-03-21,.,No value available
2010-03-22,100.025,
2010-03-23,100.070,
2010-03-24,100.085,
2010-03-25,100.030,
2010-03-26,99.970,
2010-03-27,.,No value available
2010-03-28,.,No value available
2010-03-29,100.010,
2010-03-30,100.070,
2010-03-31,100.100,
2010-04-01,100.100,
2010-04-02,.,No value available
2010-04-03,.,No value available
2010-04-04,.,No value available
2010-04-05,.,No value available
2010-04-06,100.035,
2010-04-07,100.080,
2010-04-08,100.200,
2010-04-09,100.120,
2010-04-10,.,No value available
2010-04-11,.,No value available
2010-04-12,100.000,
2010-04-13,100.020,
2010-04-14,100.065,
2010-04-15,100.135,
2010-04-16,100.175,
2010-04-17,.,No value available
2010-04-18,.,No value available
2010-04-19,100.250,
2010-04-20,100.210,
2010-04-21,100.210,
2010-04-22,100.245,
2010-04-23,100.183,
2010-04-24,.,No value available
2010-04-25,.,No value available
2010-04-26,100.220,
2010-04-27,100.250,
2010-04-28,100.435,
2010-04-29,100.395,
2010-04-30,100.385,
2010-05-01,.,No value available
2010-05-02,.,No value available
2010-05-03,100.385,
2010-05-04,100.510,
2010-05-05,100.640,
2010-05-06,100.720,
2010-05-07,101.000,
2010-05-08,.,No value available
2010-05-09,.,No value available
2010-05-10,100.600,
2010-05-11,100.850,
2010-05-12,100.780,
2010-05-13,100.810,
2010-05-14,100.935,
2010-05-15,.,No value available
2010-05-16,.,No value available
2010-05-17,100.920,
2010-05-18,100.915,
2010-05-19,101.030,
2010-05-20,100.990,
2010-05-21,101.040,
2010-05-22,.,No value available
2010-05-23,.,No value available
2010-05-24,100.990,
2010-05-25,101.080,
2010-05-26,101.000,
2010-05-27,101.040,
2010-05-28,100.970,
2010-05-29,.,No value available
2010-05-30,.,No value available
2010-05-31,101.010,
2010-06-01,101.070,
2010-06-02,101.060,
2010-06-03,100.985,
2010-06-04,101.020,
2010-06-05,.,No value available
2010-06-06,.,No value available
2010-06-07,101.150,
2010-06-08,101.210,
2010-06-09,101.070,
2010-06-10,101.050,
2010-06-11,101.030,
2010-06-12,.,No value available
2010-06-13,.,No value available
2010-06-14,101.070,
2010-06-15,101.050,
2010-06-16,101.050,
2010-06-17,101.030,
2010-06-18,100.960,
2010-06-19,.,No value available
2010-06-20,.,No value available
2010-06-21,100.825,
2010-06-22,100.845,
2010-06-23,100.850,
2010-06-24,100.895,
2010-06-25,100.930,
2010-06-26,.,No value available
2010-06-27,.,No value available
2010-06-28,100.855,
2010-06-29,100.940,
2010-06-30,100.940,
2010-07-01,100.710,
2010-07-02,100.720,
2010-07-03,.,No value available
2010-07-04,.,No value available
2010-07-05,100.765,
2010-07-06,100.735,
2010-07-07,100.720,
2010-07-08,100.655,
2010-07-09,100.500,
2010-07-10,.,No value available
2010-07-11,.,No value available
2010-07-12,100.585,
2010-07-13,100.615,
2010-07-14,100.540,
2010-07-15,100.450,
2010-07-16,100.460,
2010-07-17,.,No value available
2010-07-18,.,No value available
2010-07-19,100.430,
2010-07-20,100.440,
2010-07-21,100.560,
2010-07-22,100.615,
2010-07-23,100.540,
2010-07-24,.,No value available
2010-07-25,.,No value available
2010-07-26,100.530,
2010-07-27,100.390,
2010-07-28,100.350,
2010-07-29,100.390,
2010-07-30,100.460,
2010-07-31,.,No value available
2010-08-01,.,No value available
2010-08-02,100.425,
2010-08-03,100.470,
2010-08-04,100.550,
2010-08-05,100.470,
2010-08-06,100.480,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,100.510,
2010-08-10,100.540,
2010-08-11,100.600,
2010-08-12,100.730,
2010-08-13,100.710,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,100.755,
2010-08-17,100.695,
2010-08-18,100.680,
2010-08-19,100.655,
2010-08-20,100.740,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,100.785,
2010-08-24,100.770,
2010-08-25,100.790,
2010-08-26,100.765,
2010-08-27,100.710,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,100.730,
2010-08-31,100.750,
2010-09-01,100.755,
2010-09-02,100.685,
2010-09-03,100.715,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,100.700,
2010-09-07,100.720,
2010-09-08,100.730,
2010-09-09,100.660,
2010-09-10,100.590,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,100.535,
2010-09-14,100.570,
2010-09-15,100.520,
2010-09-16,100.420,
2010-09-17,100.400,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,100.420,
2010-09-21,100.410,
2010-09-22,100.500,
2010-09-23,100.575,
2010-09-24,100.580,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,100.560,
2010-09-28,100.530,
2010-09-29,100.520,
2010-09-30,100.450,
2010-10-01,100.310,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,100.380,
2010-10-05,100.385,
2010-10-06,100.430,
2010-10-07,100.375,
2010-10-08,100.365,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,100.410,
2010-10-12,100.425,
2010-10-13,100.360,
2010-10-14,100.365,
2010-10-15,100.350,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,100.285,
2010-10-19,100.220,
2010-10-20,100.215,
2010-10-21,100.180,
2010-10-22,100.135,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,100.160,
2010-10-26,100.135,
2010-10-27,100.090,
2010-10-28,100.090,
2010-10-29,100.110,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,100.130,
2010-11-02,100.105,
2010-11-03,100.105,
2010-11-04,100.092,
2010-11-05,100.170,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,100.165,
2010-11-09,100.170,
2010-11-10,100.149,
2010-11-11,100.200,
2010-11-12,100.215,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,100.130,
2010-11-16,100.140,
2010-11-17,100.180,
2010-11-18,100.158,
2010-11-19,100.120,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,100.108,
2010-11-23,100.200,
2010-11-24,100.325,
2010-11-25,100.270,
2010-11-26,100.290,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,100.325,
2010-11-30,100.380,
2010-12-01,100.370,
2010-12-02,100.360,
2010-12-03,100.375,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,100.390,
2010-12-07,100.375,
2010-12-08,100.350,
2010-12-09,100.340,
2010-12-10,100.330,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,100.266,
2010-12-14,100.330,
2010-12-15,100.310,
2010-12-16,100.280,
2010-12-17,100.280,
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,100.280,
2010-12-21,100.270,
2010-12-22,100.300,
2010-12-23,100.395,
2010-12-24,.,No value available
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,100.365,
2010-12-28,100.420,
2010-12-29,100.440,
2010-12-30,100.450,
2010-12-31,.,No value available
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,100.490,
2011-01-04,100.440,
2011-01-05,100.440,
2011-01-06,100.365,
2011-01-07,100.390,
2011-01-08,.,No value available
2011-01-09,.,No value available
2011-01-10,100.400,
2011-01-11,100.415,
2011-01-12,100.345,
2011-01-13,100.310,
2011-01-14,100.160,
2011-01-15,.,No value available
2011-01-16,.,No value available
2011-01-17,100.200,
2011-01-18,100.155,
2011-01-19,100.135,
2011-01-20,100.130,
2011-01-21,100.050,
2011-01-22,.,No value available
2011-01-23,.,No value available
2011-01-24,100.040,
2011-01-25,100.090,
2011-01-26,100.020,
2011-01-27,100.005,
2011-01-28,99.955,
2011-01-29,.,No value available
2011-01-30,.,No value available
2011-01-31,99.910,
2011-02-01,99.900,
2011-02-02,99.930,
2011-02-03,99.860,
2011-02-04,99.905,
2011-02-05,.,No value available
2011-02-06,.,No value available
2011-02-07,99.890,
2011-02-08,99.950,
2011-02-09,99.880,
2011-02-10,99.885,
2011-02-11,99.900,
2011-02-12,.,No value available
2011-02-13,.,No value available
2011-02-14,99.905,
2011-02-15,99.910,
2011-02-16,99.930,
2011-02-17,99.945,
2011-02-18,99.960,
2011-02-19,.,No value available
2011-02-20,.,No value available
2011-02-21,99.920,
2011-02-22,99.900,
2011-02-23,99.865,
2011-02-24,99.872,
2011-02-25,99.845,
2011-02-26,.,No value available
2011-02-27,.,No value available
2011-02-28,99.875,
2011-03-01,99.855,
2011-03-02,99.875,
2011-03-03,99.845,
2011-03-04,99.670,
2011-03-05,.,No value available
2011-03-06,.,No value available
2011-03-07,99.680,
2011-03-08,99.705,
2011-03-09,99.715,
2011-03-10,99.725,
2011-03-11,99.775,
2011-03-12,.,No value available
2011-03-13,.,No value available
2011-03-14,99.775,
2011-03-15,99.880,
2011-03-16,99.860,
2011-03-17,99.890,
2011-03-18,99.873,
2011-03-19,.,No value available
2011-03-20,.,No value available
2011-03-21,99.810,
2011-03-22,99.770,
2011-03-23,99.800,
2011-03-24,99.800,
2011-03-25,99.780,
2011-03-26,.,No value available
2011-03-27,.,No value available
2011-03-28,99.760,
2011-03-29,99.760,
2011-03-30,99.755,
2011-03-31,99.745,
2011-04-01,99.720,
2011-04-02,.,No value available
2011-04-03,.,No value available
2011-04-04,99.730,
2011-04-05,99.740,
2011-04-06,99.730,
2011-04-07,99.715,
2011-04-08,99.670,
2011-04-09,.,No value available
2011-04-10,.,No value available
2011-04-11,99.670,
2011-04-12,99.695,
2011-04-13,99.690,
2011-04-14,99.695,
2011-04-15,99.680,
2011-04-16,.,No value available
2011-04-17,.,No value available
2011-04-18,99.695,
