"",BBK01.OEAF39N,BBK01.OEAF39N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:51,
2002-01,0.577,
2002-04,0.583,
2002-07,0.559,
2002-10,0.576,
2003-01,0.568,
2003-04,0.569,
2003-07,0.559,
2003-10,0.547,
2004-01,0.547,
2004-04,0.555,
2004-07,0.535,
2004-10,0.570,
2005-01,0.567,
2005-04,0.604,
2005-07,0.716,
2005-10,0.716,
2006-01,1.260,
2006-04,1.259,
2006-07,1.261,
2006-10,1.271,
2007-01,1.263,
2007-04,1.235,
2007-07,1.243,
2007-10,1.225,
2008-01,1.187,
2008-04,1.171,
2008-07,1.142,
2008-10,1.196,
2009-01,1.173,
2009-04,1.037,
2009-07,1.239,
2009-10,1.243,
2010-01,1.241,
2010-04,1.260,
2010-07,1.325,
2010-10,1.311,
2011-01,1.307,
2011-04,1.304,
2011-07,1.289,
2011-10,1.296,
2012-01,1.311,
2012-04,1.299,
2012-07,1.293,
2012-10,1.286,
2013-01,1.287,
2013-04,1.316,
2013-07,1.262,
2013-10,1.307,
2014-01,1.355,
2014-04,1.338,
2014-07,1.324,
