"",BBK01.CEB42Q,BBK01.CEB42Q_FLAGS
"",Loans (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:31,
1991-01,33.8,
1991-04,37.0,
1991-07,37.1,
1991-10,37.7,
1992-01,38.3,
1992-04,41.0,
1992-07,43.0,
1992-10,45.3,
1993-01,46.1,
1993-04,48.7,
1993-07,48.6,
1993-10,50.0,
1994-01,58.6,
1994-04,60.3,
1994-07,61.3,
1994-10,63.0,
1995-01,59.9,
1995-04,61.5,
1995-07,62.2,
1995-10,65.5,
1996-01,70.4,
1996-04,73.3,
1996-07,73.2,
1996-10,81.6,
1997-01,88.1,
1997-04,95.2,
1997-07,92.4,
1997-10,103.6,
1998-01,111.1,
1998-04,125.0,
1998-07,118.4,
1998-10,121.7,
1999-01,148.0,
1999-04,164.0,
1999-07,146.3,
1999-10,153.8,
2000-01,205.5,
2000-04,227.1,
2000-07,225.5,
2000-10,276.5,
2001-01,302.5,
2001-04,301.1,
2001-07,318.8,
2001-10,315.4,
2002-01,313.4,
2002-04,331.4,
2002-07,339.2,
2002-10,351.8,
2003-01,367.8,
2003-04,374.2,
2003-07,385.3,
2003-10,363.6,
2004-01,352.5,
2004-04,349.2,
2004-07,349.7,
2004-10,336.9,
2005-01,335.8,
2005-04,341.5,
2005-07,369.6,
2005-10,365.3,
2006-01,405.7,
2006-04,425.1,
2006-07,435.3,
2006-10,418.5,
2007-01,439.7,
2007-04,458.1,
2007-07,467.8,
2007-10,437.6,
2008-01,486.3,
2008-04,498.5,
2008-07,499.8,
2008-10,520.6,
2009-01,546.1,
2009-04,565.2,
2009-07,561.5,
2009-10,588.0,
2010-01,571.8,
2010-04,621.2,
2010-07,626.2,
2010-10,635.4,
2011-01,638.3,
2011-04,680.7,
2011-07,735.7,
2011-10,709.7,
2012-01,743.8,
2012-04,786.5,
2012-07,769.6,
2012-10,748.4,
2013-01,785.9,
2013-04,839.5,
2013-07,597.3,
2013-10,558.8,
2014-01,576.4,
