"",BBK01.OEGB19I,BBK01.OEGB19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:05,
2002-01,0.120,
2002-04,0.133,
2002-07,0.127,
2002-10,0.118,
2003-01,0.125,
2003-04,0.132,
2003-07,0.207,
2003-10,0.182,
2004-01,0.190,
2004-04,0.191,
2004-07,0.172,
2004-10,0.183,
2005-01,0.168,
2005-04,0.187,
2005-07,0.183,
2005-10,0.193,
2006-01,0.194,
2006-04,0.205,
2006-07,0.202,
2006-10,0.154,
2007-01,0.156,
2007-04,0.161,
2007-07,0.158,
2007-10,0.162,
2008-01,0.158,
2008-04,0.380,
2008-07,0.373,
2008-10,0.369,
2009-01,0.362,
2009-04,0.365,
2009-07,0.350,
2009-10,0.341,
2010-01,0.329,
2010-04,0.342,
2010-07,0.349,
2010-10,0.356,
2011-01,0.365,
2011-04,0.304,
2011-07,0.273,
2011-10,0.242,
2012-01,0.215,
2012-04,0.194,
2012-07,0.175,
2012-10,0.189,
2013-01,0.173,
2013-04,0.162,
2013-07,0.149,
2013-10,0.139,
2014-01,0.129,
2014-04,0.121,
2014-07,0.114,
