"",BBK01.XS8877,BBK01.XS8877_FLAGS
"",Imports / Product Classification for Production Statistics from 2002 / Energy / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:26,
1995-01,1.77,
1995-02,1.72,
1995-03,1.93,
1995-04,1.82,
1995-05,1.87,
1995-06,1.89,
1995-07,1.65,
1995-08,1.75,
1995-09,1.72,
1995-10,1.62,
1995-11,1.69,
1995-12,1.84,
1996-01,2.05,
1996-02,1.98,
1996-03,2.11,
1996-04,2.15,
1996-05,2.11,
1996-06,2.33,
1996-07,2.28,
1996-08,2.22,
1996-09,2.22,
1996-10,2.62,
1996-11,2.46,
1996-12,2.68,
1997-01,2.55,
1997-02,2.77,
1997-03,2.61,
1997-04,2.16,
1997-05,2.56,
1997-06,2.43,
1997-07,2.53,
1997-08,2.69,
1997-09,2.21,
1997-10,2.73,
1997-11,2.44,
1997-12,2.36,
1998-01,2.37,
1998-02,2.19,
1998-03,2.14,
1998-04,2.20,
1998-05,2.14,
1998-06,1.92,
1998-07,2.04,
1998-08,1.87,
1998-09,1.96,
1998-10,1.75,
1998-11,1.73,
1998-12,1.77,
1999-01,1.60,
1999-02,1.68,
1999-03,1.67,
1999-04,2.02,
1999-05,1.88,
1999-06,2.00,
1999-07,2.24,
1999-08,2.31,
1999-09,2.42,
1999-10,2.50,
1999-11,2.72,
1999-12,2.81,
2000-01,3.11,
2000-02,3.15,
2000-03,3.57,
2000-04,3.38,
2000-05,4.25,
2000-06,3.55,
2000-07,4.27,
2000-08,4.11,
2000-09,4.68,
2000-10,3.99,
2000-11,4.91,
2000-12,4.36,
2001-01,4.46,
2001-02,4.02,
2001-03,4.05,
2001-04,4.55,
2001-05,3.68,
2001-06,4.48,
2001-07,4.20,
2001-08,3.48,
2001-09,4.12,
2001-10,3.84,
2001-11,3.66,
2001-12,3.38,
2002-01,3.50,
2002-02,3.74,
2002-03,3.27,
2002-04,4.19,
2002-05,3.31,
2002-06,3.64,
2002-07,3.30,
2002-08,3.42,
2002-09,3.83,
2002-10,3.87,
2002-11,3.70,
2002-12,4.20,
2003-01,4.10,
2003-02,4.59,
2003-03,4.05,
2003-04,3.96,
2003-05,4.55,
2003-06,3.58,
2003-07,3.75,
2003-08,3.80,
2003-09,3.39,
2003-10,3.78,
2003-11,4.27,
2003-12,4.10,
2004-01,3.55,
2004-02,3.88,
2004-03,4.22,
2004-04,3.99,
2004-05,3.69,
2004-06,4.75,
2004-07,4.34,
2004-08,4.73,
2004-09,4.83,
2004-10,4.86,
2004-11,4.78,
2004-12,5.05,
2005-01,5.08,
2005-02,4.78,
2005-03,5.86,
2005-04,5.47,
2005-05,5.89,
2005-06,6.12,
2005-07,5.53,
2005-08,6.84,
2005-09,6.93,
2005-10,6.75,
2005-11,6.52,
2005-12,6.57,
2006-01,7.19,
2006-02,7.96,
2006-03,7.97,
2006-04,7.62,
2006-05,7.94,
2006-06,7.51,
2006-07,7.67,
2006-08,7.49,
2006-09,8.12,
2006-10,6.82,
2006-11,6.62,
2006-12,6.43,
2007-01,6.42,
2007-02,6.45,
2007-03,6.11,
2007-04,6.60,
2007-05,6.53,
2007-06,6.67,
2007-07,6.84,
2007-08,6.85,
2007-09,6.12,
2007-10,7.10,
2007-11,8.04,
2007-12,8.51,
2008-01,8.58,
2008-02,8.90,
2008-03,8.53,
2008-04,9.49,
2008-05,9.03,
2008-06,9.13,
2008-07,11.47,
2008-08,10.36,
2008-09,10.31,
2008-10,10.28,
2008-11,8.76,
2008-12,7.46,
