"",BBK01.OEAM07G,BBK01.OEAM07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:49,
2002-01,0.301,
2002-04,0.324,
2002-07,0.383,
2002-10,0.444,
2003-01,0.426,
2003-04,0.426,
2003-07,0.412,
2003-10,0.367,
2004-01,0.366,
2004-04,0.370,
2004-07,0.456,
2004-10,0.413,
2005-01,0.444,
2005-04,0.573,
2005-07,0.603,
2005-10,0.493,
2006-01,0.441,
2006-04,0.455,
2006-07,0.433,
2006-10,0.327,
2007-01,0.350,
2007-04,0.307,
2007-07,0.263,
2007-10,0.244,
2008-01,0.226,
2008-04,0.205,
2008-07,0.201,
2008-10,0.194,
2009-01,0.368,
2009-04,0.447,
2009-07,0.604,
2009-10,0.658,
2010-01,0.677,
2010-04,0.686,
2010-07,0.741,
2010-10,0.725,
2011-01,0.756,
2011-04,0.751,
2011-07,0.719,
2011-10,0.661,
2012-01,0.699,
2012-04,0.855,
2012-07,0.975,
2012-10,1.100,
2013-01,1.150,
2013-04,1.297,
2013-07,1.406,
2013-10,1.355,
2014-01,1.346,
2014-04,1.360,
2014-07,1.267,
