"",BBK01.TUD439,BBK01.TUD439_FLAGS
"",Deposits of non-banks (non-MFIs) in the euro area / in other member states / with agreed maturities / Total / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:20:25,
1979-12,8359,
1980-01,7817,
1980-02,7921,
1980-03,8155,
1980-04,8231,
1980-05,8168,
1980-06,8311,
1980-07,8159,
1980-08,8336,
1980-09,8424,
1980-10,8536,
1980-11,8640,
1980-12,8885,
1981-01,8653,
1981-02,8697,
1981-03,9319,
1981-04,9006,
1981-05,9157,
1981-06,9157,
1981-07,9385,
1981-08,9135,
1981-09,9070,
1981-10,8924,
1981-11,9003,
1981-12,9485,
1982-01,9121,
1982-02,9136,
1982-03,9292,
1982-04,8983,
1982-05,9001,
1982-06,9228,
1982-07,9292,
1982-08,9389,
1982-09,9500,
1982-10,9429,
1982-11,9343,
1982-12,9679,
1983-01,9215,
1983-02,9212,
1983-03,9301,
1983-04,9154,
1983-05,9296,
1983-06,9652,
1983-07,9560,
1983-08,9518,
1983-09,9529,
1983-10,9452,
1983-11,9481,
1983-12,9729,
1984-01,9251,
1984-02,9120,
1984-03,9243,
1984-04,9494,
1984-05,9605,
1984-06,9704,
1984-07,9933,
1984-08,9926,
1984-09,10484,
1984-10,10470,
1984-11,10530,
1984-12,11309,
1985-01,10935,
1985-02,11257,
1985-03,10783,
1985-04,10774,
1985-05,10544,
1985-06,10872,
1985-07,10449,
1985-08,10583,
1985-09,10602,
1985-10,10719,
1985-11,11016,
1985-12,11487,
1986-01,11078,
1986-02,10920,
1986-03,11364,
1986-04,11226,
1986-05,11278,
1986-06,11348,
1986-07,11063,
1986-08,11132,
1986-09,12062,
1986-10,12173,
1986-11,11934,
1986-12,12136,
1987-01,12052,
1987-02,11856,
1987-03,11998,
1987-04,12249,
1987-05,12233,
1987-06,12582,
1987-07,12556,
1987-08,12579,
1987-09,12920,
1987-10,13411,
1987-11,12928,
1987-12,12840,
1988-01,12937,
1988-02,12949,
1988-03,13209,
1988-04,13013,
1988-05,13315,
1988-06,13731,
1988-07,14339,
1988-08,14608,
1988-09,14558,
1988-10,14533,
1988-11,14483,
1988-12,14448,
1989-01,14783,
1989-02,14978,
1989-03,15373,
1989-04,15890,
1989-05,16679,
1989-06,16705,
1989-07,16230,
1989-08,16456,
1989-09,16610,
1989-10,16786,
1989-11,16806,
1989-12,16792,
1990-01,17157,
1990-02,17522,
1990-03,17595,
1990-04,17786,
1990-05,17835,
1990-06,19847,
1990-07,20247,
1990-08,20347,
1990-09,20993,
1990-10,20595,
1990-11,20458,
1990-12,20709,
1991-01,20792,
1991-02,21084,
1991-03,22743,
1991-04,22396,
1991-05,21906,
1991-06,22587,
1991-07,22178,
1991-08,22504,
1991-09,21905,
1991-10,22324,
1991-11,22239,
1991-12,21792,
1992-01,22380,
1992-02,22895,
1992-03,23585,
1992-04,23951,
1992-05,23946,
1992-06,23884,
1992-07,23540,
1992-08,23771,
1992-09,25659,
1992-10,25798,
1992-11,26366,
1992-12,26609,
1993-01,26261,
1993-02,27319,
1993-03,27469,
1993-04,27252,
1993-05,27594,
1993-06,28608,
1993-07,29046,
1993-08,29152,
1993-09,28801,
1993-10,29632,
1993-11,30203,
1993-12,30848,
1994-01,30911,
1994-02,33600,
1994-03,35401,
1994-04,35507,
1994-05,36901,
1994-06,36542,
1994-07,36576,
1994-08,36549,
1994-09,37204,
1994-10,38479,
1994-11,39267,
1994-12,35114,
1995-01,36115,
1995-02,36236,
1995-03,36375,
1995-04,37243,
1995-05,38344,
1995-06,39903,
1995-07,41052,
1995-08,41807,
1995-09,42099,
1995-10,43885,
1995-11,45123,
1995-12,49724,
1996-01,50693,
1996-02,53623,
1996-03,54122,
1996-04,55234,
1996-05,56540,
1996-06,56994,
1996-07,58291,
1996-08,58372,
1996-09,59175,
1996-10,59718,
1996-11,60408,
1996-12,61643,
1997-01,63081,
1997-02,64529,
1997-03,65332,
1997-04,67496,
1997-05,68477,
1997-06,69618,
1997-07,72423,
1997-08,72159,
1997-09,71936,
1997-10,73033,
1997-11,74121,
1997-12,74547,
1998-01,74999,
1998-02,78330,
1998-03,80079,
1998-04,83267,
1998-05,84101,
1998-06,83724,
1998-07,85285,
1998-08,87670,
1998-09,86851,
1998-10,85726,
1998-11,85153,
1998-12,86068,
1999-01,87089,
1999-02,96750,
1999-03,98480,
1999-04,99516,
1999-05,98408,
1999-06,99438,
1999-07,99180,
1999-08,99308,
1999-09,99643,
1999-10,101391,
1999-11,100725,
1999-12,99734,
2000-01,97862,
2000-02,98344,
2000-03,99898,
