"",BBK01.QUK820,BBK01.QUK820_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Nigeria / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:34:56,
2002-03,0.006,
2002-04,0.005,
2002-05,0.006,
2002-06,0.004,
2002-07,0.004,
2002-08,0.006,
2002-09,0.004,
2002-10,0.005,
2002-11,0.018,
2002-12,0.002,
2003-01,0.007,
2003-02,0.005,
2003-03,0.002,
2003-04,0.006,
2003-05,0.006,
2003-06,0.003,
2003-07,0.006,
2003-08,0.006,
2003-09,0.006,
2003-10,0.007,
2003-11,0.007,
2003-12,0.004,
2004-01,0.005,
2004-02,0.005,
2004-03,0.006,
2004-04,0.004,
2004-05,0.006,
2004-06,0.005,
2004-07,0.007,
2004-08,0.008,
2004-09,0.010,
2004-10,0.006,
2004-11,0.006,
2004-12,0.011,
2005-01,0.022,
2005-02,0.034,
2005-03,0.039,
2005-04,0.049,
2005-05,0.053,
2005-06,0.056,
2005-07,0.061,
2005-08,0.065,
2005-09,0.053,
2005-10,0.058,
2005-11,0.065,
2005-12,0.057,
2006-01,0.017,
2006-02,0.024,
2006-03,0.029,
2006-04,0.108,
2006-05,0.041,
2006-06,0.025,
2006-07,0.053,
2006-08,0.054,
2006-09,0.040,
2006-10,0.038,
2006-11,0.067,
2006-12,0.069,
2007-01,0.070,
2007-02,0.079,
2007-03,0.160,
2007-04,0.173,
2007-05,0.191,
2007-06,0.202,
2007-07,0.220,
2007-08,0.232,
2007-09,0.231,
2007-10,0.227,
2007-11,0.207,
2007-12,0.234,
2008-01,0.257,
2008-02,0.328,
2008-03,0.419,
2008-04,0.516,
2008-05,0.539,
2008-06,0.588,
2008-07,0.709,
2008-08,0.825,
2008-09,1.291,
2008-10,1.298,
2008-11,0.968,
2008-12,0.715,
2009-01,0.543,
2009-02,0.346,
2009-03,0.283,
2009-04,0.273,
2009-05,0.309,
2009-06,0.313,
2009-07,0.302,
2009-08,0.320,
2009-09,0.308,
2009-10,0.286,
2009-11,0.324,
2009-12,0.398,
2010-01,0.379,
2010-02,0.385,
2010-03,0.315,
2010-04,0.362,
2010-05,0.317,
2010-06,0.336,
2010-07,0.294,
2010-08,0.197,
2010-09,0.283,
2010-10,0.270,
2010-11,0.289,
2010-12,0.231,
2011-01,0.223,
2011-02,0.209,
2011-03,0.203,
2011-04,0.349,
2011-05,0.356,
2011-06,0.400,
2011-07,0.416,
2011-08,0.407,
2011-09,0.329,
2011-10,0.278,
2011-11,0.339,
2011-12,0.337,
2012-01,0.367,
2012-02,0.302,
2012-03,0.379,
2012-04,0.509,
2012-05,0.465,
2012-06,0.431,
2012-07,0.474,
2012-08,0.484,
2012-09,0.586,
2012-10,0.543,
2012-11,0.599,
2012-12,0.735,
2013-01,0.632,
2013-02,0.626,
2013-03,0.648,
2013-04,0.672,
2013-05,0.774,
2013-06,0.767,
2013-07,0.498,
2013-08,0.736,
2013-09,0.638,
2013-10,0.673,
2013-11,0.627,
2013-12,0.552,
2014-01,0.636,
2014-02,0.516,
2014-03,0.574,
2014-04,0.618,
2014-05,0.647,
2014-06,0.757,
2014-07,0.793,
2014-08,0.979,
2014-09,1.093,
2014-10,0.955,
