"",BBK01.OEYL05I,BBK01.OEYL05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:20,
2002-01,3.354,
2002-04,3.258,
2002-07,3.273,
2002-10,3.209,
2003-01,3.219,
2003-04,3.043,
2003-07,3.057,
2003-10,2.179,
2004-01,2.197,
2004-04,1.867,
2004-07,1.888,
2004-10,1.319,
2005-01,1.304,
2005-04,0.147,
2005-07,0.173,
2005-10,0.118,
2006-01,0.111,
2006-04,0.118,
2006-07,0.106,
2006-10,0.112,
2007-01,0.100,
2007-04,0.089,
2007-07,0.127,
2007-10,0.085,
2008-01,0.111,
2008-04,0.111,
2008-07,0.106,
2008-10,0.105,
2009-01,0.100,
2009-04,0.102,
2009-07,0.102,
2009-10,0.102,
2010-01,0.107,
2010-04,0.087,
2010-07,0.082,
2010-10,0.081,
2011-01,0.077,
2011-04,0.080,
2011-07,0.083,
2011-10,0.078,
2012-01,0.075,
2012-04,0.069,
2012-07,0.058,
2012-10,0.059,
2013-01,0.061,
2013-04,0.057,
2013-07,0.072,
2013-10,0.070,
2014-01,0.061,
2014-04,0.238,
2014-07,0.383,
