"",BBK01.OEAF03Q,BBK01.OEAF03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:22,
2002-01,25.075,
2002-04,25.101,
2002-07,24.043,
2002-10,24.156,
2003-01,23.951,
2003-04,28.382,
2003-07,28.465,
2003-10,28.159,
2004-01,27.070,
2004-04,24.945,
2004-07,24.868,
2004-10,24.843,
2005-01,25.392,
2005-04,25.408,
2005-07,25.410,
2005-10,25.428,
2006-01,25.466,
2006-04,28.205,
2006-07,25.300,
2006-10,25.145,
2007-01,25.476,
2007-04,25.000,
2007-07,18.968,
2007-10,18.882,
2008-01,18.855,
2008-04,18.834,
2008-07,18.750,
2008-10,18.660,
2009-01,18.580,
2009-04,19.463,
2009-07,19.555,
2009-10,19.286,
2010-01,19.682,
2010-04,19.610,
2010-07,19.822,
2010-10,20.015,
2011-01,19.985,
2011-04,20.043,
2011-07,20.291,
2011-10,20.226,
2012-01,20.221,
2012-04,20.408,
2012-07,20.616,
2012-10,20.865,
2013-01,20.937,
2013-04,21.061,
2013-07,21.247,
2013-10,21.413,
2014-01,21.559,
2014-04,21.743,
2014-07,22.045,
